participant,conflict_name,years,participant_correction,participant_new
Lithuania,Russo-Lithuanian War (Russia),1395-1396,,Lithuania
Lithuania,Russo-Lithuanian War (Russia),1385-1385,,Lithuania
Livonian Order,War of Ivan III with Lithuania and Livonian Order (Russia),1482-1500,,Livonian Order
Livonian Order,War of Ivan III with Lithuania and Livonian Order (Russia),1501-1503,,Livonian Order
Livonians,Livonian War with Russia (Poland-Lithuania),1563-1575,,Livonians
Maillotins,"Insurrection in Paris of the ""Maillotins"" and the ""Tuchins"" (France)",1382-1382,,Maillotins
Maoris,Maori War (England),1863-1869,,Maoris
Mexico,War in Mexico (France),1861-1867,,Mexico
Mexico,Conquest of Mexico (Spain),1519-1521,,Mexico
Moldavia,War with Moldavia (Poland-Lithuania),1501-1506,,Moldavia
Moldavia,War with Moldavia (Poland-Lithuania),1530-1531,,Moldavia
Mongols,Mongol invasion into Russia (Batyi) (Russia),1237-1240,,Mongols
Mongols,Mongol invasion (Russia),1224-1224,,Mongols
Moors,War with the Moors (Mauritanian War) (Spain),1482-1492,,Moors
Moriscos,Insurrection of Morisco (Spain),1569-1571,,Moriscos
Moriscos,Insurrection of Morisco (Spain),1501-1501,,Moriscos
Morocco,War with Morocco (Spain),1919-1925,,Morocco
Morocco,War with Morocco (Spain),1909-1909,,Morocco
Morocco,War with Morocco (Spain),1859-1860,,Morocco
Morocco,War with Morocco (Spain),1893-1894,,Morocco
Naples,War with Naples (Austria-Hungary),1815-1815,,Naples
Netherlands,War for Independence from Spain (Holland),1568-1609,,Netherlands
Netherlands,War with Spain (Holland),1621-1648,,Netherlands
Netherlands,War with Netherlands (England),1652-1655,,Netherlands
Netherlands,War with Netherlands (England),1665-1667,,Netherlands
Netherlands,War with Netherlands (England),1672-1674,,Netherlands
Netherlands,War with Netherlands (England),1780-1784,,Netherlands
netherlands insurgents,Insurrection in the Netherlands (Spain),1601-1609,,netherlands insurgents
netherlands insurgents,Insurrection in the Netherlands (Spain),1568-1575,,netherlands insurgents
netherlands insurgents,Insurrection in the Netherlands (Spain),1579-1600,,netherlands insurgents
Normans,Conquest by Normans (England),1066-1066,,Normans
Papacy,"War with France, the Pope and Venice (Spain)",1521-1525,,Papacy
Pastoureaux,Insurrection of the Pastoureaux du Midi (France),1326-1326,,Pastoureaux
Persia,Persian War  (Russia),1722-1723,,Persia
Persia,Russo-Persian War (Russia),1796-1796,,Persia
Persia,Russo-Persian War (Russia),1803-1813,,Persia
Persia,Russo-Persian War (Russia),1826-1828,,Persia
Persia,War with Persia (England),1856-1857,,Persia
Peruvians,War with Peru (Spain),1531-1535,,Peruvians
Peruvians,War with Peru (Spain),1526-1531,,Peruvians
Poland,War with Poland (Russia),1632-1634,,Poland
Poland,"First Polish-Russian War for ""Little Russia"" (Russia)",1654-1655,,Poland
Poland,War with Poland (Austria-Hungary),1587-1588,,Poland
Poland,War with Poland (Russia),1617-1618,,Poland
Poland,"Second Polish-Russian War for ""Little Russia"" (Russia)",1658-1677,,Poland
Poland,Turkish-Polish (Doroshenko) War (Poland-Lithuania),1666-1667,,Poland
Poland,War of Ivan IV with Poland and Sweden (Russia),1576-1582,,Poland
Poland,War of Ivan IV with Poland and Sweden (Russia),1563-1575,,Poland
Poland,First Russia-Polish War for Ukraine (Poland-Lithuania),1654-1655,,Poland
Poland,Second Russian-Polish War (Poland-Lithuania),1658-1667,,Poland
Poland,War with Poland (Germany),1656-1657,,Poland
Poland,The Templars with Poland and Lithuania (Austria-Hungary),1410-1410,,Poland
Poland-Lithuania,Insurrectional War (Poland-Lithuania),1792-1794,,Poland-Lithuania
Poland-Lithuania,War with Cossacks of Pavluk (Poland-Lithuania),1637-1637,,Poland-Lithuania
Poland-Lithuania,War with Cossacks of Nalivaiko (Poland-Lithuania),1596-1596,,Poland-Lithuania
Poland-Lithuania,War with Crimea (Poland-Lithuania),1576-1576,,Poland-Lithuania
Poland-Lithuania,War with Sweden (Poland-Lithuania),1626-1629,,Poland-Lithuania
Poland-Lithuania,War with Crimea (Poland-Lithuania),1626-1628,,Poland-Lithuania
Poland-Lithuania,War with Cossacks of Taras (Poland-Lithuania),1628-1628,,Poland-Lithuania
Poland-lithuania,War with Russia (Poland-Lithuania),1632-1634,,Poland-lithuania
Poland-Lithuania,War with Crimea (Poland-Lithuania),1575-1575,,Poland-Lithuania
Poland-Lithuania,War with Crimea (Poland-Lithuania),1605-1605,,Poland-Lithuania
Poland-lithuania,War with Russia (Poland-Lithuania),1617-1618,,Poland-lithuania
Poland-lithuania,War with Moldavia (Poland-Lithuania),1530-1531,,Poland-lithuania
Poland-lithuania,War with Russia (Poland-Lithuania),1512-1522,,Poland-lithuania
Poland-Lithuania,War with Turkey (Poland-Lithuania),1582-1582,,Poland-Lithuania
Poland-lithuania,War with Russia (Poland-Lithuania),1507-1508,,Poland-lithuania
Poland-lithuania,War with Russia (Poland-Lithuania),1576-1582,,Poland-lithuania
Poland-Lithuania,War with Cossacks of Ostraniitza (Poland-Lithuania),1638-1638,,Poland-Lithuania
Poland-Lithuania,War with Cossacks of Khemelnitzy and Crimea (Poland-Lithuania),1651-1654,,Poland-Lithuania
Poland-lithuania,War with Moldavia (Poland-Lithuania),1501-1506,,Poland-lithuania
Poland-lithuania,War with Russia (Poland-Lithuania),1501-1503,,Poland-lithuania
Poland-Lithuania,War with Turkey (Poland-Lithuania),1499-1500,,Poland-Lithuania
Poland-Lithuania,War with Sweden (Poland-Lithuania),1601-1609,,Poland-Lithuania
Poland-Lithuania,War with Turkey (Poland-Lithuania),1486-1489,,Poland-Lithuania
Poland-lithuania,War with Russia (Poland-Lithuania),1482-1500,,Poland-lithuania
Poland-Lithuania,War with Transylvania (Poland-Lithuania),1657-1662,,Poland-Lithuania
Poland-Lithuania,War with Turkey (Poland-Lithuania),1443-1444,,Poland-Lithuania
Poland-Lithuania,War with Turkey (Poland-Lithuania),1672-1675,,Poland-Lithuania
Poland-Lithuania,War with Turkey (Poland-Lithuania),1683-1699,,Poland-Lithuania
Poland-lithuania,War with Russia (Poland-Lithuania),1768-1772,,Poland-lithuania
Poland-Lithuania,War with the Tartars (Edigey) (Poland-Lithuania),1399-139,,Poland-Lithuania
Poland-Lithuania,War with Cossacks of Khemelnitzy and Crimea (Poland-Lithuania),1647-1649,,Poland-Lithuania
Poland-Lithuania,War with Turkey and Crimea (Poland-Lithuania),1619-1621,,Poland-Lithuania
Polish insurgents,Polish Insurrection (Russia),1863-1864,,Polish insurgents
Polish rebels,Polish Insurrection (Russia),1792-1794,,Polish rebels
Polish rebels,Polish Insurrection (Russia),1830-1831,,Polish rebels
Polovcians,Russia against Polovcians (Russia),1191-1191,,Polovcians
Polovcians,Russia against Polovcians (Russia),1199-1199,,Polovcians
Polovcians,Russia against Polovcians (Russia),1165-1165,,Polovcians
Polovcians,Russia against Polovcians (Slovo o Polku Igorevi) (Russia),1183-1185,,Polovcians
Polovcians,Russia against Polovcians (Russia),1170-1170,,Polovcians
Polovcians,Russia against Polovcians (Russia),1168-1168,,Polovcians
Polovcians,Russia against Polovcians (Russia),1202-1215,,Polovcians
Portugal,War with Portugal  (France),1834-1834,,Portugal
Portugal,War with Portugal (Holland),1648-1661,,Portugal
Portugal,War with Portugal (Holland),1663-1669,,Portugal
Portugal,War with Portugal (Spain),1579-1581,,Portugal
Portugal,War with Portugal (for independence) (Spain),1642-1668,,Portugal
Portugal,Intervention in Portugal (Spain),1834-1834,,Portugal
Portugal,War with Portugal (Spain),1762-1762,,Portugal
Portugal,War with Portugal (Spain),1476-1479,,Portugal
Prussia,Austrian-Prussian War (Austria-Hungary),1866-1866,,Prussia
Prussia,Austrian-Prussian War (Germany),1866-1866,,Prussia
Prussia,Franco-Prussian War (France),1870-1871,,Prussia
Prussia,Franco-Prussian War (Germany),1870-1871,,Prussia
Russia,Russia against Polovcians (Russia),1103-1116,,Russia
Russia,Russo-Lithuanian War (Russia),1132-1132,,Russia
Russia,Russia against Polovcians (Russia),1149-1150,,Russia
Russia,Russo-Lithuanian War (Russia),1276-1277,,Russia
Russia,Lithuanian War of Vassillii III (Russia),1507-1508,,Russia
Russia,Russian-Lithuanian War (Poland-Lithuania),1401-1408,,Russia
Russia,Lithuanian War of Vassillii III (Russia),1512-1522,,Russia
Russia,Russo-Lithuanian War (Russia),1274-1274,,Russia
Russia,Russo-Lithuanian War (Russia),1226-1234,,Russia
Russia,War of Vassillii III with Kazan (Russia),1530-1530,,Russia
Russia,Russo-Lithuanian War (Russia),1245-1247,,Russia
Russia,War of Ivan IV with Poland and Sweden (Russia),1576-1582,,Russia
Russia,War of Ivan IV with Poland and Sweden (Russia),1563-1575,,Russia
Russia,War with Russia (Italy),1855-1856,,Russia
Russia,Russo-Lithuanian War (Russia),1263-1263,,Russia
Russia,Russia against Polovcians (Russia),1100-1100,,Russia
Russia,War of Vassilii III with Kazan (Russia),1523-1524,,Russia
Russia,Russo-Lithuanian War (Russia),1534-1537,,Russia
Russia,War of Ivan IV with Kazan (Russia),1550-1550,,Russia
Russia,War of Ivan IV with Kazan (Russia),1551-1552,,Russia
Russia,Russo-Lithuanian War (Russia),1251-1252,,Russia
Russia,War with Astrakhan (Russia),1554-1554,,Russia
Russia,Mongol invasion into Russia (Batyi) (Russia),1237-1240,,Russia
Russia,Russia against Polovcians (Russia),1126-1126,,Russia
Russia,Russo-Swedish War (Russia),1554-1557,,Russia
Russia,Russia against Polovcians (Russia),1093-1096,,Russia
Russia,Russo-Swedish War (Russia),1188-1188,,Russia
Russia,Russo-Lithuanian War (Russia),1285-1286,,Russia
Russia,Russian-Lithuanian War (Poland-Lithuania),1395-1396,,Russia
Russia,Russo-Lithuanian War (Russia),1346-1346,,Russia
Russia,Russo-Swedish War (Russia),1348-1350,,Russia
Russia,Russo-Lithuanian War (Russia),1355-1359,,Russia
Russia,Russo-Lithuanian War (Russia),1385-1385,,Russia
Russia,Russo-Lithuanian War (Russia),1395-1396,,Russia
Russia,Russo-Swedish War (Russia),1317-1318,,Russia
Russia,Russo-Lithuanian War with Vitoft (Russia),1401-1408,,Russia
Russia,Russo-Lithuanian War (Russia),1426-1428,,Russia
Russia,War with Russia  (England),1854-1856,,Russia
Russia,Russia against Polovcians (Russia),1061-1068,,Russia
Russia,Russo-Lithuanian War (Russia),1445-1445,,Russia
Russia,Russia against Polovcians (Russia),1202-1215,,Russia
Russia,Russo-Swedish War (Russia),1311-1313,,Russia
Russia,Russo-Swedish War (Russia),1337-1338,,Russia
Russia,Russia against Polovcians (Russia),1191-1191,,Russia
Russia,Russia against Polovcians (Slovo o Polku Igorevi) (Russia),1183-1185,,Russia
Russia,Russo-Swedish War (Russia),1164-1164,,Russia
Russia,War of Ivan III with Lithuania and Livonian Order (Russia),1482-1500,,Russia
Russia,Russo-Lithuanian War (Russia),1320-1321,,Russia
Russia,Russia against Polovcians (Russia),1170-1170,,Russia
Russia,Russo-Lithuanian War (Russia),1210-1225,,Russia
Russia,Russo-Swedish War (Russia),1295-1300,,Russia
Russia,Russia-Swedish War (Russia),1496-1497,,Russia
Russia,Russia against Polovcians (Russia),1168-1168,,Russia
Russia,War of Ivan III with Lithuania and Livonian Order (Russia),1501-1503,,Russia
Russia,Mongol invasion (Russia),1224-1224,,Russia
Russia,War of Vassilii III with Kazan (Russia),1506-1507,,Russia
Russia,Russia against Polovcians (Russia),1165-1165,,Russia
Russia,Russo-Swedish War (Russia),1301-1301,,Russia
Russia,Russia against Polovcians (Russia),1199-1199,,Russia
Russia,Polish Insurrection (Russia),1863-1864,,Russia
Russia,Russo-Lithuanian War (Russia),1038-1044,,Russia
Russia,Russian-Lithuanian War (Poland-Lithuania),1534-1537,,Russia
Russia,Russo-Austro-Turkish War (Russia),1787-1791,,Russia
Russia,Russo-Turkish War (Russia),1877-1878,,Russia
Russia,Livonian War with Russia (Poland-Lithuania),1563-1575,,Russia
Russia,Russo-Swedish War (Russia),1788-1790,,Russia
Russia,Polish Insurrection (Russia),1792-1794,,Russia
Russia,Russo-Persian War (Russia),1796-1796,,Russia
Russia,Russia v France (Russia),1806-1807,,Russia
Russia,War with Russia (Poland-Lithuania),1576-1582,,Russia
Russia,Swedish Russian War (Russia),1808-1809,,Russia
Russia,Russo-Turkish War (Russia),1806-1812,,Russia
Russia,War with Sweden (Russia),1590-1593,,Russia
Russia,First Russia-Polish War for Ukraine (Poland-Lithuania),1654-1655,,Russia
Russia,War with Russia (Poland-Lithuania),1617-1618,,Russia
Russia,Russo-Persian War (Russia),1803-1813,,Russia
Russia,War with Russia (Poland-Lithuania),1632-1634,,Russia
Russia,Russo-Persian War (Russia),1826-1828,,Russia
Russia,Russo-Turkish War (Russia),1828-1829,,Russia
Russia,Russian-Austrian War with Turkey (Austria-Hungary),1736-1739,,Russia
Russia,Polish Insurrection (Russia),1830-1831,,Russia
Russia,Second Russian-Polish War (Poland-Lithuania),1658-1667,,Russia
Russia,Second Russo-Austrian War with Turkey (Austria-Hungary),1788-1791,,Russia
Russia,Russo-Turkish War and War against Polish Confederates (Russia),1768-1774,,Russia
Russia,Russian-Lithuanian War (Poland-Lithuania),1426-1468,,Russia
Russia,Invasion of Crimean Tartars (Russia),1591-1591,,Russia
Russia,Russian-Lithuanian War (Poland-Lithuania),1445-1445,,Russia
Russia,War with Sweden (Russia),1614-1617,,Russia
Russia,War with Poland (Russia),1617-1618,,Russia
Russia,War with Poland (Russia),1632-1634,,Russia
Russia,"First Polish-Russian War for ""Little Russia"" (Russia)",1654-1655,,Russia
Russia,War with Russia (Poland-Lithuania),1512-1522,,Russia
Russia,"Second Polish-Russian War for ""Little Russia"" (Russia)",1658-1677,,Russia
Russia,War with Doroshenko and Turkey (Russia),1676-1678,,Russia
Russia,War with Russia (Austria-Hungary),1812-1812,,Russia
Russia,War with Russia (Poland-Lithuania),1482-1500,,Russia
Russia,War with China on the Amur River (Russia),1689-1689,,Russia
Russia,War with Russia (Poland-Lithuania),1768-1772,,Russia
Russia,Persian War  (Russia),1722-1723,,Russia
Russia,Russo-Austro-Turkish War (Russia),1736-1739,,Russia
Russia,War with Russia (Poland-Lithuania),1501-1503,,Russia
Russia,Russo-Swedish War (Russia),1741-1743,,Russia
Russia,War with Russia (Poland-Lithuania),1507-1508,,Russia
Sardinia,Austrian-Sardinian War (Austria-Hungary),1696-1697,,Sardinia
Sardinia,Austrian-Sardinian War (Austria-Hungary),1701-1703,,Sardinia
Sardinia,Austrian-Sardinian War (Austria-Hungary),1848-1849,,Sardinia
Sardinia,Austrian-Sardinian War (Italy),1696-1697,,Sardinia
Sardinia,Austrian-Sardinian War (Italy),1701-1703,,Sardinia
Sardinia,Austrian-Sardinian War (Italy),1848-1849,,Sardinia
Sardinia,Austrian-Sardinian War (Austria-Hungary),1859-1859,,Sardinia
Savoy,War with Savoy (France),1601-1601,,Savoy
Savoy,War with Savoy (France),1600-1600,,Savoy
Savoy,War with Savoy (Spain),1615-1617,,Savoy
Scotland,War with Scotland (England),1136-1138,,Scotland
Scotland,War with Scotland (England),1402-1403,,Scotland
Scotland,Hundred Years' War with France (& Scotland) (England),1376-1389,,Scotland
Scotland,War with Scotland (England),1326-1328,,Scotland
Scotland,Subjugation of Scotland (England),1296-1296,,Scotland
Scotland,War with Scotland (England),1547-1548,,Scotland
Scotland,War with Scotland (England),1532-1534,,Scotland
Scotland,War with Scotland (England),1480-1480,,Scotland
Scotland,War with Scotland (England),1482-1484,,Scotland
Scotland,War with Scotland (England),1513-1515,,Scotland
Scotland,War with Scotland (England),1522-1523,,Scotland
Scotland,War with Scotland (England),1542-1546,,Scotland
Scotland,War with Scotland (England),1548-1550,,Scotland
Spain,War with Venice (Cambrian League) (Spain),1508-1509,,Spain
Spain,"War with Spain, on the side of France (Thirty Years' War) (Italy)",1635-1659,,Spain
Spain,war with France (Spain),1502-1504,,Spain
Spain,War with Spain (Italy),1626-1626,,Spain
Spain,War with Spain (Italy),1613-1617,,Spain
Spain,War with Spain (France),1556-1559,,Spain
Spain,Insurrection of Morisco (Spain),1501-1501,,Spain
Spain,War with France (Holy League) (Spain),1495-1497,,Spain
Spain,War with Spain (France),1651-1659,,Spain
Spain,War with Portugal (Spain),1476-1479,,Spain
Spain,War with Spain (France),1635-1650,,Spain
Spain,War with France (Holy League) (Spain),1511-1513,,Spain
Spain,Third War of Louis XIV (Spain),1688-197,,Spain
Spain,War with the Moors (Mauritanian War) (Spain),1482-1492,,Spain
Spain,War with Turkey (Spain),1610-1614,,Spain
Spain,War with Turkey (Algir) (Spain),1541-1541,,Spain
Spain,Intervention in Portugal (Spain),1834-1834,,Spain
Spain,War with Morocco (Spain),1859-1860,,Spain
Spain,War with Savoy (Spain),1615-1617,,Spain
Spain,War with France (Spain),1648-1659,,Spain
Spain,War of the Spanish Succession (Holland),1701-1713,,Spain
Spain,War of Charles V with France (Spain),1552-1556,,Spain
Spain,War with Turkey (Spain),1576-1580,,Spain
Spain,war with France (Spain),1556-1559,,Spain
Spain,War with Turkey (Spain),1559-1564,,Spain
Spain,War with Morocco (Spain),1893-1894,,Spain
Spain,Spanish War with USA (Spain),1898-1898,,Spain
Spain,"Insurrection of the ""Beggars"" in the Netherlands (Spain)",1566-1567,,Spain
Spain,War with Spain (Holland),1621-1648,,Spain
Spain,War with Turkey (Spain),1569-1575,,Spain
Spain,War for Independence from Spain (Holland),1568-1609,,Spain
Spain,Insurrection of Morisco (Spain),1569-1571,,Spain
Spain,War with Morocco (Spain),1909-1909,,Spain
Spain,War with Morocco (Spain),1919-1925,,Spain
Spain,War with Turkey (Spain),1618-1619,,Spain
Spain,War with Peru (Spain),1526-1531,,Spain
Spain,War with Spain (Great Armada) (England),1585-1604,,Spain
Spain,War with France (fourth war of Charles V) (Spain),1542-1544,,Spain
Spain,War with Turkey (Spain),1604-1604,,Spain
Spain,war with France (Spain),1515-1515,,Spain
Spain,War with Spain (England),1655-1659,,Spain
Spain,Conquest of Mexico (Spain),1519-1521,,Spain
Spain,"Insurrection of ""Comuneros"" of Castile and ""Germanias"" in Barcelona (Spain)",1520-1522,,Spain
Spain,War with Peru (Spain),1531-1535,,Spain
Spain,War with Turkey (Tunis) (Spain),1535-1535,,Spain
Spain,War with Portugal (Spain),1762-1762,,Spain
Spain,War with France (third war of Charles V) (Spain),1536-1538,,Spain
Spain,War with France (Spain),1823-1823,,Spain
Spain,War with England (mostly in America) (Spain),1779-1783,,Spain
Spain,War with England (Spain),1795-1801,,Spain
Spain,Second War of Louis XIV (Spain),1672-1678,,Spain
Spain,War with Venice (Spain),1617-1621,,Spain
Spain,War with England (Spain),1601-1605,,Spain
Spain,War with Portugal (Spain),1579-1581,,Spain
Spain,War with England (Spain),1803-1808,,Spain
Spain,War with Spain  (England),1625-1630,,Spain
Spain,War with France (Spain),1808-1814,,Spain
Spain,War with Portugal (for independence) (Spain),1642-1668,,Spain
Spain,War with England (Armada) (Spain),1585-1600,,Spain
Spains,Insurrection in the Netherlands (Spain),1579-1600,,Spains
Spains,Insurrection in the Netherlands (Spain),1568-1575,,Spains
Spains,Insurrection in the Netherlands (Spain),1601-1609,,Spains
Sweden,Naval War with Sweden (England),1715-1719,,Sweden
Sweden,Russo-Swedish War (Russia),1788-1790,,Sweden
Sweden,Russia against Polovcians (Russia),1100-1100,,Sweden
Sweden,War of Ivan IV with Poland and Sweden (Russia),1576-1582,,Sweden
Sweden,Russia against Polovcians (Russia),1061-1068,,Sweden
Sweden,War with Sweden (Russia),1590-1593,,Sweden
Sweden,Russia against Polovcians (Russia),1103-1116,,Sweden
Sweden,War of Ivan IV with Poland and Sweden (Russia),1563-1575,,Sweden
Sweden,Russia against Polovcians (Russia),1093-1096,,Sweden
Sweden,War with Sweden (Russia),1614-1617,,Sweden
Sweden,Russo-Swedish War (Russia),1741-1743,,Sweden
Sweden,War with Sweden (Holland),1657-1660,,Sweden
Sweden,Russia against Polovcians (Russia),1126-1126,,Sweden
Sweden,Swedish Russian War (Russia),1808-1809,,Sweden
Sweden,Russo-Swedish War (Russia),1295-1300,,Sweden
Sweden,Russo-Swedish War (Russia),1554-1557,,Sweden
Sweden,Russo-Swedish War (Russia),1301-1301,,Sweden
Sweden,Russia against Polovcians (Russia),1149-1150,,Sweden
Sweden,War with Sweden (Poland-Lithuania),1601-1609,,Sweden
Sweden,Russo-Swedish War (Russia),1311-1313,,Sweden
Sweden,Russo-Swedish War (Russia),1317-1318,,Sweden
Sweden,Russo-Swedish War (Russia),1337-1338,,Sweden
Sweden,Russo-Swedish War (Russia),1188-1188,,Sweden
Sweden,Russia-Swedish War (Russia),1496-1497,,Sweden
Sweden,Russo-Swedish War (Russia),1348-1350,,Sweden
Sweden,Russo-Swedish War (Russia),1164-1164,,Sweden
Sweden,War with Sweden (Poland-Lithuania),1626-1629,,Sweden
Swiss,Swiss-Austrian War (Austria-Hungary),1308-1318,,Swiss
Swiss,Swiss-Austrian War (Austria-Hungary),1386-1386,,Swiss
Swiss,Swiss-Austrian War (Austria-Hungary),1339-1339,,Swiss
Tartars,War with the Tartars (Edigey) (Poland-Lithuania),1399-139,,Tartars
Templars,The Templars with Poland and Lithuania (Austria-Hungary),1410-1410,,Templars
Tonkin,War with Tonkin (France),1883-1885,,Tonkin
Tonkin,War with Tonkin (France),1894-1894,,Tonkin
Transylvania,War with Transylvania (Poland-Lithuania),1657-1662,,Transylvania
Transylvanian rebels,Insurrection in Transylvania (Austria-Hungary),1784-1785,,Transylvanian rebels
Tuchins,"Insurrection in Paris of the ""Maillotins"" and the ""Tuchins"" (France)",1382-1382,,Tuchins
Turkey,Russo-Turkish War (Russia),1877-1878,,Turkey
Turkey,War with Turkey (Navarin) (France),1827-1827,,Turkey
Turkey,Russo-Turkish War and War against Polish Confederates (Russia),1768-1774,,Turkey
Turkey,Russo-Turkish War (Russia),1828-1829,,Turkey
Turkey,Russo-Austro-Turkish War (Russia),1787-1791,,Turkey
Turkey,Russo-Turkish War (Russia),1806-1812,,Turkey
Turkey,War with Turkey (France),1664-1670,,Turkey
Turkey,Russo-Austro-Turkish War (Russia),1736-1739,,Turkey
Turkey,War with Doroshenko and Turkey (Russia),1676-1678,,Turkey
Turkey,War with Turkey (England),1827-1827,,Turkey
Turkey,Italo-Turkish War,1911-1912,,Turkey
Turks,War with Turkey (Poland-Lithuania),1486-1489,,Turks
Turks,Turkish-Greek-Hungarian Wars (Austria-Hungary),1444-1444,,Turks
Turks,War with Turkey (Spain),1610-1614,,Turks
Turks,War with Turkey and Hungary (Austria-Hungary),1526-1532,,Turks
Turks,Turkish-Hungarian War (Austria-Hungary),1448-1448,,Turks
Turks,War with Turkey (Spain),1576-1580,,Turks
Turks,War with Turkey (Austria-Hungary),1512-1519,,Turks
Turks,Russian-Austrian War with Turkey (Austria-Hungary),1736-1739,,Turks
Turks,"Expedition against the Turks, into Hungary (France)",1396-1396,,Turks
Turks,Turkish-Hungarian War (Austria-Hungary),1490-1495,,Turks
Turks,War with Turkey (Tunis) (Spain),1535-1535,,Turks
Turks,Turkish-Hungarian War (Austria-Hungary),1482-1483,,Turks
Turks,War with Turkey   (Austria-Hungary),1454-1456,,Turks
Turks,Great Turkish War (Austria-Hungary),1683-1699,,Turks
Turks,War with Turkey (Spain),1569-1575,,Turks
Turks,War with Turkey (Poland-Lithuania),1582-1582,,Turks
Turks,War with Turkey (Austria-Hungary),1469-1475,,Turks
Turks,War with Turkey (Algir) (Spain),1541-1541,,Turks
Turks,War with Turkey (Spain),1559-1564,,Turks
Turks,Turkish-Polish (Doroshenko) War (Poland-Lithuania),1666-1667,,Turks
Turks,War with Turkey and Hungary (Austria-Hungary),1521-1525,,Turks
Turks,War with Turkey and Hungary (Austria-Hungary),1532-1534,,Turks
Turks,Hungarian-Turkish War (Austria-Hungary),1396-1396,,Turks
Turks,War with Turkey (Poland-Lithuania),1499-1500,,Turks
Turks,War with Turkey (Austria-Hungary),1537-1547,,Turks
Turks,War with Turkey and Crimea (Poland-Lithuania),1619-1621,,Turks
Turks,War with Turkey (Italy),1570-1573,,Turks
Turks,Second Russo-Austrian War with Turkey (Austria-Hungary),1788-1791,,Turks
Turks,War with Turkey (Austria-Hungary),1601-1606,,Turks
Turks,War with Turkey (Poland-Lithuania),1443-1444,,Turks
Turks,War with Turkey (Poland-Lithuania),1683-1699,,Turks
Turks,War with Turkey (Austria-Hungary),1565-1568,,Turks
Turks,War with the Turks in Hungary (Austria-Hungary),1576-1583,,Turks
Turks,War with Turkey (Poland-Lithuania),1672-1675,,Turks
Turks,War with Turkey (Spain),1604-1604,,Turks
Turks,War with Turkey (Austria-Hungary),1551-1562,,Turks
Turks,War with Turkey (Spain),1618-1619,,Turks
unclear from source alone,Boxer Insurrection in China (Germany),1900-1900,,unclear from source alone
unclear from source alone,War in South and Central America (Spain),1808-1823,,unclear from source alone
unclear from source alone,War with Naples and the Papal State,1860-1861,,unclear from source alone
unclear from source alone,Expedition of Garibaldi to Calabria,1862-1862,,unclear from source alone
unclear from source alone,Garibaldi attack on Papal State,1867-1867,,unclear from source alone
unclear from source alone,Occupation of Papal State,1870-1870,,unclear from source alone
unclear from source alone,First Carlist War (Spain),1833-1840,,unclear from source alone
unclear from source alone,War in South and Central America (Spain),1826-1829,,unclear from source alone
unclear from source alone,War in Africa (Spain),1672-1673,,unclear from source alone
unclear from source alone,War with Teutonic Order (Poland-Lithuania),1392-1392,,unclear from source alone
unclear from source alone,"""Reunion"" War (Spain)",1683-1684,,unclear from source alone
unclear from source alone,War in Africa (Spain),1681-1694,,unclear from source alone
unclear from source alone,War of 1813-1814 (Germany),1813-1814,,unclear from source alone
unclear from source alone,War of the Polish Succession (Poland-Lithuania),1733-1735,,unclear from source alone
unclear from source alone,Tarnograd Confederation (Poland-Lithuania),1715-1717,,unclear from source alone
unclear from source alone,Great Northern War (Poland-Lithuania),1709-1721,,unclear from source alone
unclear from source alone,Great Northern War (Poland-Lithuania),1701-1706,,unclear from source alone
unclear from source alone,War for the Spanish Succession (Spain),1701-1713,,unclear from source alone
unclear from source alone,War with the Quadruple Alliance (Spain),1718-1720,,unclear from source alone
unclear from source alone,Devolutionary War (Spain),1667-1668,,unclear from source alone
unclear from source alone,Revolt of Lubomirsky (Poland-Lithuania),1664-1666,,unclear from source alone
unclear from source alone,War of 1813-1814 (Holland),1813-1814,,unclear from source alone
unclear from source alone,War for the Austrian Succession (Spain),1742-1748,,unclear from source alone
unclear from source alone,First Northern War (Poland-Lithuania),1655-1660,,unclear from source alone
unclear from source alone,Second War of Charles V (Spain),1526-1529,,unclear from source alone
unclear from source alone,Seven Years War (Spain),1761-1763,,unclear from source alone
unclear from source alone,Italy in World War One,1915-1918,,unclear from source alone
unclear from source alone,First Coalitional War (Spain),1793-1795,,unclear from source alone
unclear from source alone,War in Africa (Spain),1661-1667,,unclear from source alone
unclear from source alone,War of 1815 (Holland),1815-1815,,unclear from source alone
unclear from source alone,War for the Polish Succession (Spain),1733-1738,,unclear from source alone
unclear from source alone,Continuation of Carlist War (Spain),1847-1849,,unclear from source alone
unclear from source alone,Third Carlist War (Spain),1876-1885,,unclear from source alone
unclear from source alone,Germany in World War One,1914-1918,,unclear from source alone
unclear from source alone,War of the Quadruple Alliance (Italy),1718-1720,,unclear from source alone
unclear from source alone,War for the Spanish Succession (Italy),1703-1713,,unclear from source alone
unclear from source alone,War for the Mantuan Succession (Italy),1630-1631,,unclear from source alone
unclear from source alone,War with Crimea (Poland-Lithuania),1526-1528,,unclear from source alone
unclear from source alone,War with Teutonic Order (Poland-Lithuania),1409-1410,,unclear from source alone
unclear from source alone,War with Teutonic Order (Poland-Lithuania),1519-1520,,unclear from source alone
unclear from source alone,War with Crimea (Poland-Lithuania),1512-1515,,unclear from source alone
unclear from source alone,War with Teutonic Order (Poland-Lithuania),1431-1422,,unclear from source alone
