participant,conflict_name,years,participant_correction,participant_new
unclear from source alone,Conquest of Bahr el-Ghazal,1878-1879,,unclear from source alone
unclear from source alone,"Boxer War, European intervention",1898-1901,,unclear from source alone
unclear from source alone,Transvaal War,1899-1902,,unclear from source alone
unclear from source alone,Civil war in Colombia,1899-1902,,unclear from source alone
unclear from source alone,"Troubles in India (Amritsar, Waziristan)",1918-1919,,unclear from source alone
unclear from source alone,Pogroms in Russia,1905-1905,,unclear from source alone
unclear from source alone,Revolt in Zululand,1906-1906,,unclear from source alone
unclear from source alone,Massacre in Armenia (Turkey),1909-1910,,unclear from source alone
unclear from source alone,World War I,1914-1918,,unclear from source alone
unclear from source alone,Trouble in British Somalia (Derviches),1913-1920,,unclear from source alone
unclear from source alone,Second Balkan War,1913-1913,,unclear from source alone
unclear from source alone,First Balkan War,1912-1913,,unclear from source alone
unclear from source alone,End of pacification of Morocco,1928-1934,,unclear from source alone
unclear from source alone,Troubles in Indochina (Yenbay),1930-1930,,unclear from source alone
unclear from source alone,Second civil war in China,1927-1935,,unclear from source alone
unclear from source alone,Troubles in France,1934-1936,,unclear from source alone
Unclear from source alone,First Carlist War,1833-1839,,Unclear from source alone
Unclear from source alone,Fight against the Caffres (South Africa),1834-1843,,Unclear from source alone
unclear from source alone,Indochina war,1946-1954,,unclear from source alone
unclear from source alone,Troubles in the Constantine area,1945-1945,,unclear from source alone
unclear from source alone,Troubles in Syria and Lebanon,1945-1945,,unclear from source alone
unclear from source alone,"Civil war in Greece, foreign intervention",1944-1949,,unclear from source alone
unclear from source alone,World War II,1939-1945,,unclear from source alone
unclear from source alone,Dismemberment of Czechoslovakia,1938-1939,,unclear from source alone
unclear from source alone,Troubles in Austria,1934-1934,,unclear from source alone
unclear from source alone,Cyprus war,1974-not provided,,unclear from source alone
unclear from source alone,Spanish War,1936-1939,,unclear from source alone
unclear from source alone,Ethiopian War,1935-1937,,unclear from source alone
Uruguay,War of La Plata,1836-1852,,Uruguay
Uruguay independence campaigners,Uruguay struggle for independence & First war of La Plata,1810-1828,,Uruguay independence campaigners
US,"Cuban uprising, war of Cuba, intervention by US",1895-1898,,US
US,"Uprising of the Philippines, first vs Spain, then vs US",1896-1902,,US
US,"Troubles in Nicaragua, US intervention",1909-1916,,US
US,War US vs Mexico,1846-1848,,US
US,Cuban nuclear missile crisis,1962-1962,,US
US,War of American Independence,1775-1783,,US
US Indian tribes,"Conquest of the West, vs US Indian tribes",1861-1880,,US Indian tribes
USA,USA Civil war,1861-1865,,USA
USSR,"Uprising of Budapest, Soviet intervention",1956-1956,,USSR
USSR,Cuban nuclear missile crisis,1962-1962,,USSR
Venice,Uprising in Lombardo-Venetia and Austria-Piedmont War,1848-1849,,Venice
Waziristan Muslims (India),Muslim troubles in Waziristan (India),1936-1938,,Waziristan Muslims (India)
West Turkestan,Russian conquest of West Turkestan,1865-1881,,West Turkestan
Yunnan insurgents,Yunnan revolt,1917-1918,,Yunnan insurgents
Zululand,English conquest of Zululand,1879-1879,,Zululand
