participant,conflict_name,years,participant_correction,participant_new
France,Holy League vs France,1512-1514,,France
France,"Chad Rebels vs Government; France, Libya intervention",1980-1987,,France
France,Syria: Druses vs France,1925-1927,,France
France,France intervention in Moroccan civil war,1911-1911,,France
France,France intervention in Moroccan civil war,1916-1917,,France
France,France vs Senegal,1857-1857,,France
France,France vs Senegal,1890-1891,,France
France,France & Spain intervention in Morocco,1921-1926,,France
France,France vs Syria,1920-1920,,France
France,Haiti vs France,1802-1803,,France
France,"Liberals vs Government in Argentina, UK/France invasion",1841-1851,,France
France,"Russian Civil War; US, UK, France, Japan intervention",1918-1920,,France
France,France vs Spain for Naples,1501-1504,,France
France,"Cameroon Independence vs France, UK",1955-1960,,France
France,Italian Democrats vs Autocrats; France intervention,1860-1861,,France
France,France defeats Ivory tribe,1885-1886,,France
France,France vs Turkey,1919-1920,,France
France,"Spain vs Morocco; France, UK intervention",1859-1860,,France
France,"Syria: Egypt vs Turkey & UK: Germany, Russia, France intervention",1839-1840,,France
France,France vs Rome; Austria-Hungary invade,1849-1849,,France
France,France intervention in Moroccan civil war,1907-1908,,France
France,"Carlists vs Government in Spain; UK, France, Portugal interventions",1833-1840,,France
France,France seizes Corsica,1763-1765,,France
France,Tunisia: Independence from France,1952-1954,,France
France,Political Troubles in France,1831-1835,,France
France,Dahomey revolt vs France in Benin,1889-1892,,France
France,Austria-Hungary vs Italy; France intervenes,1859-1859,,France
France,France intervention in Moroccan civil war,1909-1910,,France
French Government,Liberals vs Government in France,1830-1830,,French Government
French Government,National Guard vs Government of France; Germany intervention,1871-1871,,French Government
French Government,Liberals vs Government in France,1848-1848,,French Government
French Government,Royalists vs Government in France,1851-1851,,French Government
French Liberals,Liberals vs Government in France,1848-1848,,French Liberals
French Liberals,Liberals vs Government in France,1830-1830,,French Liberals
French National Guard,National Guard vs Government of France; Germany intervention,1871-1871,,French National Guard
French Revolutionaries,French Revolutionary Wars,1792-1802,,French Revolutionaries
French Royalists,Royalists vs Government in France,1851-1851,,French Royalists
German Peasants,German Peasants' War,1524-1525,,German Peasants
German Socialists,German Socialists vs Nazi Government,1934-1934,,German Socialists
Germany,"Spanish Civil War; Italian, USSR, German intervention",1936-1939,,Germany
Germany,Germany in World War II,1939-1945,,Germany
Germany,Tanzania: Revolt vs Germany; massacres,1905-1907,,Germany
Germany,National Guard vs Government of France; Germany intervention,1871-1871,,Germany
Germany,France vs Germany/Prussia,1870-1871,,Germany
Germany,"SW Africa revolution vs Germany, massacres",1903-1908,,Germany
Germany,Tanzania: Arabs & Blacks vs Germany,1888-1893,,Germany
Germany,"Syria: Egypt vs Turkey & UK: Germany, Russia, France intervention",1839-1840,,Germany
Germany,Germany in World War I,1914-1918,,Germany
Germany,Lithuania in World War II; Germany kills resisters,1941-1941,,Germany
Germany (Nazi Government),German Socialists vs Nazi Government,1934-1934,,Germany (Nazi Government)
Goa (India),India: Portugese conquered Goa,1509-1512,,Goa (India)
Government,"Rwanda Tutsis vs Government, massacres",1956-1965,,Government
Government,"Biafrans vs Government, famine and massacre",1967-1970,,Government
Government of Afghanistan,"Afghanistan: Anti-Reformers vs Government, UK intervention",1924-1925,,Government of Afghanistan
Government of Afghanistan,Afghanistan: Anti-Reformers vs Government,1928-1929,,Government of Afghanistan
Government of Algeria,Algeria: Rebel leaders vs Government,1962-1963,,Government of Algeria
Government of Burundi,Burundi Hutus vs Government; massacres,1972-1972,,Government of Burundi
Government of China,China: Muslim rebellion vs Government,1928-1928,,Government of China
Government of China,China: Pai-Lings vs Government,1914-1914,,Government of China
Government of China,China: Republicans vs Government,1911-1911,,Government of China
Government of China,China: Bandits vs Government,1913-1914,,Government of China
Government of China,China: Communists vs Government,1930-1935,,Government of China
Government of China,China: Republicans vs Government,1913-1913,,Government of China
Government of Indonesia,Indonesia: Dissident Military vs Government,1956-1960,,Government of Indonesia
Government of Indonesia,Indonesia: Darul Islam vs Government,1953-1953,,Government of Indonesia
Government of Indonesia,Indonesia: Moluccans vs Government,1950-1950,,Government of Indonesia
Government of Iraq,Iraq: Kurds vs Government; Iran intervention,1961-1970,,Government of Iraq
Government of Iraq,Iraq: Shammar Tribe vs Government,1959-1959,,Government of Iraq
Government of Jordan,Palestinians and Syrians vs Government in Jordan,1970-1970,,Government of Jordan
Government of Korea,Korea: Army vs Government,1948-1948,,Government of Korea
Government of Laos,"Laos: Pathel Lao vs Government; US bombing, North Vietnam invades",1960-1973,,Government of Laos
Government of Nigeria,Fundamental Islam vs Government (Nigeria),1980-1981,,Government of Nigeria
Government of Nigeria,Fundamental Islam vs Government (Nigeria),1984-1984,,Government of Nigeria
Government of Pakistan,Pakistan: Baluchis vs Government; Afghanistan intervention,1973-1977,,Government of Pakistan
Government of Philippines,Philippines: Huks vs Government,1950-1952,,Government of Philippines
Government of Philippines,Philippines: Muslims vs Government; US intervention,1972-1989,,Government of Philippines
Government of Philippines,Philippines: Communists vs Government; US intervention,1972-1989,,Government of Philippines
Government of Sri Lanka,Tamils vs Sinhalese vs Government of Sri Lanka,1984-1990,,Government of Sri Lanka
Government of Sri Lanka,Maoists vs Government of Sri Lanka,1971-1971,,Government of Sri Lanka
Government of Sudan,"Sudan: Blacks vs Government; UK, Egypt intervention",1963-1972,,Government of Sudan
Government of Taiwan,Taiwan: Civilian riots vs government,1947-1947,,Government of Taiwan
Government of Uganda,Uganda: Buganda Tribe vs Government,1966-1966,,Government of Uganda
Greece,"Greek revolution vs Turkey, UK intervention",1821-1828,,Greece
Greece,Greek mutiny vs UK & France,1857-1858,,Greece
Greece,UK intervenes in Greek civil war,1945-1949,,Greece
Greece,Greece in WWII,1940-1941,,Greece
Greece,Greece in WWI,1917-1918,,Greece
Greece,Greece vs Turkey over Crete,1897-1897,,Greece
Greece,Greece vs Turkey,1919-1922,,Greece
Guatemala,Guatemala vs El Salvador & Honduras,1906-1906,,Guatemala
Guatemala,Guatemala vs El Salvador,1885-1885,,Guatemala
Guatemala Government,Guatemala Government massacre of Indians; US intervention,1966-1990,,Guatemala Government
Guatemala Government,Guatemalan Conservatives vs Government; US intervention,1954-1954,,Guatemala Government
Guatemalan Conservatives,Guatemalan Conservatives vs Government; US intervention,1954-1954,,Guatemalan Conservatives
Guinea-Bissau,Guinea-Bissau Independence vs Portugal,1962-1974,,Guinea-Bissau
Gujerat (India),India: Gujerat - Egypt vs Portugal,1508-1509,,Gujerat (India)
Gurkhas (India),India: Gurkhas vs UK,1814-1817,,Gurkhas (India)
Haiti,Haiti vs France,1802-1803,,Haiti
Haitian civilians,Haitians in Dominican Republic massacred,1937-1937,,Haitian civilians
Hapsburgs,France vs Hapsburgs with UK intervention,1557-1560,,Hapsburgs
Hindus (India),India: Muslim vs Hindu; UK intervention,1946-1948,,Hindus (India)
Holy League,Holy League vs France,1512-1514,,Holy League
Holy Roman Empire,France & Sweden vs Holy Roman Empire,1618-1648,,Holy Roman Empire
Holy Roman Empire,Protestants vs Holy Roman Empire,1546-1547,,Holy Roman Empire
Honduras,Guatemala vs El Salvador & Honduras,1906-1906,,Honduras
Honduras,El Salvador vs Honduras (Soccer War),1969-1969,,Honduras
Honduras,Nicaragua vs El Salvador & Honduras,1907-1907,,Honduras
Honduras Conservatives,Honduras Conservatives vs Government,1924-1924,,Honduras Conservatives
Honduras Government,Honduras Conservatives vs Government,1924-1924,,Honduras Government
Huguenots,Huguenots vs France; UK intervention,1562-1564,,Huguenots
Huguenots,Huguenot vs France,1569-1570,,Huguenots
Huguenots,France vs Huguenots,1572-1573,,Huguenots
Huguenots,Huguenots vs France,1575-1576,,Huguenots
Huguenots,Huguenots vs France,1585-1589,,Huguenots
Huguenots,Huguenots vs France,1567-1568,,Huguenots
Huks,Philippines: Huks vs Government,1950-1952,,Huks
Hungarian Anti-Communists,Hungarian Anti-Communists vs Government,1919-1920,,Hungarian Anti-Communists
Hungarian insurgents,Hungarian Revolt vs Austria,1703-1711,,Hungarian insurgents
Hungary,Romanian peasants vs Hungary,1784-1785,,Hungary
Hungary,Hungary in WWII,1941-1945,,Hungary
Hungary,Hungary vs Turkey,1657-1657,,Hungary
Hungary,USSR intervenes in Hungarian civil war,1956-1956,,Hungary
Hungary,Turkey vs Russia in Hungary,1711-1711,,Hungary
Hungary,Hungary vs Austria-Hungary & Russia,1848-1849,,Hungary
Hungary,Czechoslavakia & Romania vs Hungary,1919-1919,,Hungary
Hungary Government,Hungarian Anti-Communists vs Government,1919-1920,,Hungary Government
Hutus,Burundi Hutus vs Government; massacres,1972-1972,,Hutus
Hyderabad,India: India vs Hyderabad,1948-1948,,Hyderabad
Idi Amin,Uganda: Idi Amin massacres,1971-1978,,Idi Amin
Idi Amin,Tanzania vs Amin in Uganda; Libya intervention,1978-1979,,Idi Amin
India,India intervention in Bangladesh with famine and massacres,1971-1971,,India
India,India: UK intervene in civil war,1936-1938,,India
India,India: World War I,1914-1918,,India
India,India: Pakistan vs India; border war,1971-1971,,India
India,India: China vs India at border,1962-1962,,India
India,India: UK intervene in civil war,1921-1922,,India
India,India: India vs Hyderabad,1948-1948,,India
India,India: World War II,1939-1945,,India
Indian Muslims,"India: Muslims, Pakistan vs Kashmir (India)",1947-1949,,Indian Muslims
Indians,Guatemala Government massacre of Indians; US intervention,1966-1990,,Indians
Indians,Indian uprising in Argentina,1833-1834,,Indians
Indonesia,"Indonesia: Independence from Netherlands, UK",1945-1946,,Indonesia
Indonesia,Indonesia: Annexation of East Timor; famine & massacres,1975-1982,,Indonesia
Indonesia,Indonesia: Abortive coup; UK intenvention,1965-1966,,Indonesia
Insurgents in England,Wyatt's Rebellion,1554-1554,,Insurgents in England
Insurgents in England,Arundel's Rebellion,1547-1550,,Insurgents in England
Insurgents in England,Covenanter rebel vs UK,1679-1679,,Insurgents in England
Iran,India: Iran invades Mogul India,1738-1739,,Iran
Iran,Iraq: Kurds vs Government; Iran intervention,1961-1970,,Iran
Iran,Turkey vs Iran & Egypt,1514-1517,,Iran
Iran,Iran vs Afghanistan,1837-1838,,Iran
Iran,Iran vs Uzbeks,1510-1510,,Iran
Iran,Turkey vs Iran,1821-1822,,Iran
Iran,India: Iran vs Mogul Empire,1622-1623,,Iran
Iran, Iraq vs Iran,1980-1988,,Iran
Iran,UK vs Iran,1856-1857,,Iran
Iran, Russia vs Iran,1826-1828,,Iran
Iran Constitutionalists,"Iran Constitutionalists vs Government, USSR intervention",1908-1909,,Iran Constitutionalists
Iran Government,"Iran Constitutionalists vs Government, USSR intervention",1908-1909,,Iran Government
Iran Islamists, Iran: Islam vs Shah; dissidents,1978-1989,,Iran Islamists
Iraq, Iraq vs Iran,1980-1988,,Iraq
Iraq,Iraq invades Kuwait,1990-1990,,Iraq
Iraqi Arabs,Iraq: Arabs vs UK,1920-1921,,Iraqi Arabs
Iraqi Kurds,Iraq: Kurds vs Government; Iran intervention,1961-1970,,Iraqi Kurds
Iraqi Kurds,Iraq: Kurds massacred Christians,1933-1933,,Iraqi Kurds
Ireland,Irish Rebellion vs UK,1649-1650,,Ireland
Ireland,Irish vs English (France intervention),1689-1691,,Ireland
Islamic law proponents (Sudan),Sudan: Blacks vs Islamic Law,1984-1990,,Islamic law proponents (Sudan)
Islamists,Fundamental Islam vs Government (Nigeria),1984-1984,,Islamists
Islamists,Fundamental Islam vs Government (Nigeria),1980-1981,,Islamists
Israel," Israel: Yom Kippur War vs Egypt, Syria",1973-1973,,Israel
Israel, Israel invades Lebanon,1982-1990,,Israel
Israel, Arab League vs Israel,1948-1948,,Israel
Israel,"Suez in Egypt: Israel, France, UK invasion",1956-1956,,Israel
Italian Autocrats,Italian Democrats vs Autocrats; France intervention,1860-1861,,Italian Autocrats
Italian Democrats,Italian Democrats vs Autocrats; France intervention,1860-1861,,Italian Democrats
Italian Liberals,Italian Liberals vs Two Sicilies; Austrian intervention,1845-1848,,Italian Liberals
Italian Liberals,Italian Liberals vs Government; Austria-Hungary intervention,1820-1821,,Italian Liberals
Italy,Prussia & Italy vs Austria; France intervention,1866-1866,,Italy
Italy,"Turkey v Russia; UK, France, Italy invade",1853-1856,,Italy
Italy,Turkey vs Spain & Italy in Cyprus,1570-1578,,Italy
Italy,Italy vs Ethiopia,1935-1936,,Italy
Italy,Italy in WWII,1940-1945,,Italy
Italy,Italy intervention in Libyan civil war,1930-1932,,Italy
Italy,Italian conquest of Libya,1920-1932,,Italy
Italy,"UK, Italy intervention in Libyan civil war",1911-1917,,Italy
Italy,"Spanish Civil War; Italian, USSR, German intervention",1936-1939,,Italy
Italy,Italy in WWI,1915-1918,,Italy
Italy,Austria-Hungary vs Italy; France intervenes,1859-1859,,Italy
Italy,Italy vs Papal States,1862-1870,,Italy
Italy,Italy vs Turkey,1911-1912,,Italy
Italy,Italy vs Ethiopia,1895-1896,,Italy
Italy Government,Italian Liberals vs Government; Austria-Hungary intervention,1820-1821,,Italy Government
Ivory tribe (Ivory Coast),France defeats Ivory tribe,1885-1886,,Ivory tribe (Ivory Coast)
Janissaries,Janissaries massacred in Turkey,1826-1826,,Janissaries
Janissary Insurgents,Janissaries Revolt in Turkey,1730-1730,,Janissary Insurgents
Japan,Japan vs Russia,1904-1905,,Japan
Japan,"UK, France, US expedition to Japan",1863-1883,,Japan
Japan,Japan vs Manchuria (China),1931-1933,,Japan
Japan,Japan vs China over Korea,1894-1895,,Japan
Japan,USSR vs Japan,1938-1938,,Japan
Japan,"Russian Civil War; US, UK, France, Japan intervention",1918-1920,,Japan
Japan,Japan in World War II,1941-1945,,Japan
Japan,Japan vs China,1937-1941,,Japan
Japan,"China: Civil War; USSR, Japan intervention",1926-1928,,Japan
Japan,Japan vs Mongolia & USSR,1939-1939,,Japan
Japan,Japan vs USSR,1939-1939,,Japan
Java insurgents,Indonesia: Java revolt vs Netherlands,1825-1830,,Java insurgents
Jews,"Pogrom, Russians vs Jews",1905-1905,,Jews
Juarez (Mexico),France vs Juarez (Mexico): Austria-Hungary intervention,1862-1867,,Juarez (Mexico)
Kabylia (Algeria),Kabylia uprising vs France in Algeria,1856-1857,,Kabylia (Algeria)
Kashgaria,China vs Kashgaria,1847-1848,,Kashgaria
Kashgaria,China vs Kashgaria,1857-1857,,Kashgaria
Kashgaria insurgents,China: Kashgaria Revolt,1822-1828,,Kashgaria insurgents
Kashmir (India),India: Pakistan vs Kashmir (India intervention),1965-1965,,Kashmir (India)
Kashmir (India),"India: Muslims, Pakistan vs Kashmir (India)",1947-1949,,Kashmir (India)
Kenya,Kenya Independence from UK,1952-1963,,Kenya
Kenya,UK vs Kenya,1895-1896,,Kenya
Khiva,Russian expedition to Khiva,1716-1717,,Khiva
Khivans,Russia vs Khivans,1839-1839,,Khivans
King (England),English Parliament vs King,1642-1646,,King (England)
King of Ethiopia,King of Ethiopia kills Rebels; France intervention,1861-1861,,King of Ethiopia
King of Uganda,Uganda: Army vs King,1893-1893,,King of Uganda
Kirghiz massacre Russians,Kirghiz massacre Russians,1916-1916,,Kirghiz massacre Russians
Kokanese,China: Kokanese invasion,1830-1830,,Kokanese
Konkomba (Ghana),Konkomba vs Nanumba in Ghana,1981-1981,,Konkomba (Ghana)
Korea,"Korean War; China, US intervention",1950-1953,,Korea
Korea,Japan vs China over Korea,1894-1895,,Korea
Korean Army,Korea: Army vs Government,1948-1948,,Korean Army
Koreans in Japan,Japan: Massacre of Koreans,1923-1923,,Koreans in Japan
Koukou-Nor rebels,China: Koukou-Nor natives rebel,1807-1807,,Koukou-Nor rebels
Kuomintang,Communists vs Kuomintang; US intervention,1946-1950,,Kuomintang
Kurd civilians killed by army in Iraq,Kurd civilians killed by army in Iraq,1988-1988,,Kurd civilians killed by army in Iraq
Kuwait,Iraq invades Kuwait,1990-1990,,Kuwait
Lebanese Christians,Lebanon: Muslims massacred Christians,1860-1860,,Lebanese Christians
Lebanese Muslims,Lebanon: Muslims massacred Christians,1860-1860,,Lebanese Muslims
Lebanon,Lebanon: US intervene in Lebanese civil war,1958-1958,,Lebanon
Lebanon, Israel invades Lebanon,1982-1990,,Lebanon
Lebanon, Syria intervene in Lebanese civil war,1975-1976,,Lebanon
Liberals,Liberals vs Government in Spain,1868-1868,,Liberals
Liberia Government,Liberia Rebels vs (other) Rebels vs Government,1990-1990,,Liberia Government
Libya,Italy intervention in Libyan civil war,1930-1932,,Libya
Libya,Italian conquest of Libya,1920-1932,,Libya
Libya,"UK, Italy intervention in Libyan civil war",1911-1917,,Libya
Libya,Tanzania vs Amin in Uganda; Libya intervention,1978-1979,,Libya
Libya,"Chad Rebels vs Government; France, Libya intervention",1980-1987,,Libya
Lithuania,Russia vs Poland in Lithuania,1658-1660,,Lithuania
Lithuania,Poland vs Lithuania,1920-1920,,Lithuania
Lithuania,Lithuania in World War II; USSR kills collaborators,1944-19944,,Lithuania
Lithuania,Lithuania in World War II; Germany kills resisters,1941-1941,,Lithuania
lran,Russo-lran War,1722-1723,,lran
lran,Russo-lran War,1795-1796,,lran
lran,Russo-lran War,1804-1813,,lran
Ma-Kalanga (South Africa),Matabele vs Ma-Kalanga in South Africa,1837-1837,,Ma-Kalanga (South Africa)
Macedonian insurgents,Macedonian revolt vs Turkey,1903-1903,,Macedonian insurgents
Madagascar,Madagascar revolt vs France,1883-1885,,Madagascar
Madagascar,Madagascar Independence from France,1947-1948,,Madagascar
Madagascar,France annexed Madagascar,1894-1895,,Madagascar
Mahdist rebels (Sudan),Sudan: Mahdist rebels UK; Egypt intervention,1882-1885,,Mahdist rebels (Sudan)
Malaysia,Malaysia: UK intervene in civil war,1950-1960,,Malaysia
Malta,Turkey vs Spain in Malta,1559-1565,,Malta
Manchuria (China),Japan vs Manchuria (China),1931-1933,,Manchuria (China)
Maoris,New Zealand: 2nd Maori War vs UK,1860-1870,,Maoris
Marathas (India),India: UK vs Marathas,1778-1781,,Marathas (India)
Marathas (India),India: UK conquered Marathas,1817-1818,,Marathas (India)
Marathas (India),India: Marathas vs UK,1802-1806,,Marathas (India)
Marathas (India),India: Maratha Civil War,1802-1802,,Marathas (India)
Maronite Syrians,Syria: Maronite vs Druse; Turkey intervention,1845-1845,,Maronite Syrians
Mashonas (South Africa),Matabele vs Mashonas in South Africa,1840-1840,,Mashonas (South Africa)
massacres,"SW Africa revolution vs Germany, massacres",1903-1908,,massacres
massacres,"Rwanda Tutsis vs Government, massacres",1956-1965,,massacres
Matabele,Matabele vs Ma-Kalanga in South Africa,1837-1837,,Matabele
Matabele (South Africa),Boers vs Matabele in South Africa,1836-1837,,Matabele (South Africa)
Matabele (South Africa),Matabele vs Mashonas in South Africa,1840-1840,,Matabele (South Africa)
Mexican Gov,Mexican Liberals vs Government,1832-1832,,Mexican Gov
Mexican insurgents,Mexican revolt vs Spain,1829-1829,,Mexican insurgents
Mexican Liberals,Mexican Liberals & Radicals vs Government; US intervention,1910-1920,,Mexican Liberals
Mexican Liberals,Mexican Liberals vs Government,1832-1832,,Mexican Liberals
Mexican Liberals,"Mexican Liberals vs Government; UK, France, Spain, Austria intervention",1858-1861,,Mexican Liberals
Mexican Radicals,Mexican Liberals & Radicals vs Government; US intervention,1910-1920,,Mexican Radicals
Mexico,Spain conquered Mexico,1520-1521,,Mexico
Mexico,Texas vs Mexico,1835-1836,,Mexico
Mexico,US vs Mexico,1846-1848,,Mexico
Mexico Government,Con Cristeros vs Government,1926-1930,,Mexico Government
Mexico Government,Mexican Liberals & Radicals vs Government; US intervention,1910-1920,,Mexico Government
Mexico Government,"Mexican Liberals vs Government; UK, France, Spain, Austria intervention",1858-1861,,Mexico Government
Miao-Iseu Rebels,China: Miao-Iseu Rebellion,1795-1797,,Miao-Iseu Rebels
Mogul Empire (India),India: Iran vs Mogul Empire,1622-1623,,Mogul Empire (India)
Mogul India,India: Iran invades Mogul India,1738-1739,,Mogul India
Moguls (India),India: Moguls vs Delhi,1525-1526,,Moguls (India)
Moguls (India),India: Mogul Civil War,1708-1708,,Moguls (India)
Moguls (India),India: Rajput vs Moguls,1526-1529,,Moguls (India)
Moguls (India),India: Afghans vs Moguls,1537-1539,,Moguls (India)
Moluccans,Indonesia: Moluccans vs Government,1950-1950,,Moluccans
Mongolia,Mongolia in World War II,1941-1945,,Mongolia
Mongolia,Japan vs Mongolia & USSR,1939-1939,,Mongolia
Montenegro,Turkey vs Montenegro,1858-1859,,Montenegro
Montenegro,Turkey vs Montenegro,1852-1853,,Montenegro
Morocco,West Sahara Independence from Morocco,1975-1987,,Morocco
Morocco,Morocco: Independence from France; Spain intervention,1953-1956,,Morocco
Morocco,France intervention in Moroccan civil war,1907-1908,,Morocco
Morocco,France intervention in Moroccan civil war,1916-1917,,Morocco
Morocco,France intervention in Moroccan civil war,1911-1911,,Morocco
Morocco,Spain vs Morocco,1909-1910,,Morocco
Morocco,Portugal vs Morocco,1578-1578,,Morocco
Morocco,Spanish-Moroccan War,1775-1775,,Morocco
Morocco,"Spain vs Morocco; France, UK intervention",1859-1860,,Morocco
Morocco,France intervention in Moroccan civil war,1909-1910,,Morocco
Morocco,France & Spain intervention in Morocco,1921-1926,,Morocco
Moscow,Tartars vs Moscow,1571-1572,,Moscow
Mozambique,Mozambique Independence vs Portugal,1965-1975,,Mozambique
Muslim (India),India: Muslim rebellion vs UK,1897-1898,,Muslim (India)
Muslim insurgents,China: Muslim uprising,1826-1828,,Muslim insurgents
Muslim rebels,Muslim rebellions vs China,1860-1872,,Muslim rebels
Muslims,India: Muslim vs Hindu; UK intervention,1946-1948,,Muslims
Muslims,Philippines: Muslims vs Government; US intervention,1972-1989,,Muslims
Muslims (India),India: Muslims vs Vijayanagar,1565-1585,,Muslims (India)
Muslims (India),India: Muslim rebellion vs UK,1863-1883,,Muslims (India)
Mysore (India),India: UK East India Co vs Mysore,1782-1784,,Mysore (India)
Mysore (India),India: UK East India Co vs Mysore,1790-1792,,Mysore (India)
Nanumba (Ghana),Konkomba vs Nanumba in Ghana,1981-1981,,Nanumba (Ghana)
Naples,Neapolitan War (Austria-Hungary),1815-1815,,Naples
Naples,France vs Spain for Naples,1501-1504,,Naples
Napoleonic Wars,Napoleonic Wars,1803-1815,,Napoleonic Wars
National Union Party,"Costa Rica National Union Party vs Government, US intervention",1948-1948,,National Union Party
Nationalists (Spain),"Spanish Civil War; Italian, USSR, German intervention",1936-1939,,Nationalists (Spain)
Netherlands,Netherlands in WWII,1940-1945,,Netherlands
Netherlands,Belgian vs Netherlands with UK and France invading,1830-1833,,Netherlands
Netherlands,Indonesia: Bornean revolution vs Netherlands,1825-1825,,Netherlands
Netherlands,Indonesia: Java revolt vs Netherlands,1825-1830,,Netherlands
Netherlands,Indonesia: Bornean revolution vs Netherlands,1859-1880,,Netherlands
Netherlands,Indonesia: Achinese vs Netherlands,1873-1878,,Netherlands
Netherlands,Indonesia: Netherlands vs Bali,1894-1894,,Netherlands
Netherlands,"Indonesia: Independence from Netherlands, UK",1945-1946,,Netherlands
Netherlands,England vs Netherlands,1665-1677,,Netherlands
Netherlands,UK vs Netherlands,1780-1784,,Netherlands
Netherlands,France vs Netherlands,1672-1679,,Netherlands
Netherlands,UK & France vs Netherlands,1672-1674,,Netherlands
Netherlands,France vs Spain,1667-1668,,Netherlands
Netherlands,England vs Netherlands at sea,1652-1654,,Netherlands
Netherlands,Dutch Independence & Spanish Armada,1585-1604,,Netherlands
Netherlands,Netherlands vs Portugal War in Brazil,1657-1661,,Netherlands
New Zealand,World War I - New Zealand,1914-1918,,New Zealand
New Zealand,World War II - New Zealand,1939-1945,,New Zealand
Nicaragua,Nicaragua vs El Salvador & Honduras,1907-1907,,Nicaragua
Nicaragua Government,Liberals vs Government in Nicaragua,1855-1857,,Nicaragua Government
Nicaragua Liberals,Liberals vs Government in Nicaragua,1855-1857,,Nicaragua Liberals
Nigeria. France intervention,UK vs Nigeria. France intervention,1897-1897,,Nigeria. France intervention
North Vietnam,"Laos: Pathel Lao vs Government; US bombing, North Vietnam invades",1960-1973,,North Vietnam
North Vietnam,Cambodia: North Vietnam & US intervene in civil war,1970-1975,,North Vietnam
North Vietnam,US & South Vietnam vs North Vietnam,1965-1975,,North Vietnam
North Yemen,Civil war in N Yemen; Egypt intervention,1962-1969,,North Yemen
North Yemen,Yahya family vs N. Yemen,1948-1948,,North Yemen
Norway,Norway in World War II,1940-1940,,Norway
Norway,Kalmar (Denmark & Norway vs Sweden),1611-1613,,Norway
Novgorod,Russia sacks Novgorod,1570-1570,,Novgorod
Nubians,Egypt conquered Nubians,1820-1821,,Nubians
other participants not known from source alone,1st Balkan War vs Turkey,1912-1913,,other participants not known from source alone
other participants unclear from source alone,2nd Balkan War vs Bulgaria,1913-1913,,other participants unclear from source alone
other party not clear,El Salvador Peasant uprising & massacres,1931-1932,,other party not clear
other party not clear,Haitians in Dominican Republic massacred,1937-1937,,other party not clear
other party not clear from source,Polish Revolt & Partition,1792-1794,,other party not clear from source
other party not specified,Massacre of Colombian revolutionaries,1879-1879,,other party not specified
other party unclear,Brazil Rightist terrorism,1980-1980,,other party unclear
Pakistan,"India: Muslims, Pakistan vs Kashmir (India)",1947-1949,,Pakistan
Pakistan,India: Pakistan vs India; border war,1971-1971,,Pakistan
Pakistan,India: Pakistan vs Kashmir (India intervention),1965-1965,,Pakistan
Palestine, Palestine vs Egypt,1834-1834,,Palestine
Palestinians,Palestinians and Syrians vs Government in Jordan,1970-1970,,Palestinians
Panama,US invaded Panama,1989-1989,,Panama
Panama,Latin America Independence from Spain,1810-1825,,Panama
Papal States,Italy vs Papal States,1862-1870,,Papal States
Papal States,France vs Rome; Austria-Hungary invade,1849-1849,,Papal States
Paraguay,Paraguay vs Brazil & Argentina,1864-1870,,Paraguay
Paraguay,Paraguay vs Bolivia (Chaco War),1932-1935,,Paraguay
Paraguay,Latin America Independence from Spain,1810-1825,,Paraguay
Paraguay Government,Liberals vs Government in Paraguay,1947-1947,,Paraguay Government
Paraguay Government,Liberals vs Government in Paraguay,1911-1912,,Paraguay Government
Paraguay Liberals,Liberals vs Government in Paraguay,1911-1912,,Paraguay Liberals
Paraguay Liberals,Liberals vs Government in Paraguay,1947-1947,,Paraguay Liberals
Parliament,English Parliament vs King,1642-1646,,Parliament
Pathel Lao,"Laos: Pathel Lao vs Government; US bombing, North Vietnam invades",1960-1973,,Pathel Lao
Peasants & Workers,Peasants & Workers vs Government,1905-1906,,Peasants & Workers
Pequot Indians,US vs Pequot Indians,1637-1637,,Pequot Indians
Peron,Armed Forces of Argentina vs Peron,1955-1955,,Peron
Peru,Chile vs Peru & Bolivia,1879-1883,,Peru
Peru,Peru vs Bolivia,1841-1841,,Peru
Peru,Latin America Independence from Spain,1810-1825,,Peru
Peru,"Spain vs Chile & Peru; Bolivia, Ecuador intervention",1865-1866,,Peru
Peru Government,Shining Path vs Government of Peru,1983-1990,,Peru Government
Peru Government,Peruvian Liberals vs Government,1894-1895,,Peru Government
Peruvian Conservatives,Liberals vs Conservatives in Peru,1853-1858,,Peruvian Conservatives
Peruvian Liberals,Liberals vs Conservatives in Peru,1853-1858,,Peruvian Liberals
Peruvian Liberals,Peruvian Liberals vs Government,1894-1895,,Peruvian Liberals
Peruvians,Spain conquered Peru,1531-1531,,Peruvians
Philippines,Philippines vs Spain; US invades,1896-1898,,Philippines
Philippines,Philippines in World War II,1941-1945,,Philippines
Philippines,US vs Spain over Cuba & Philippines,1898-1898,,Philippines
Philippines insurgents,Philippines revolt vs US,1899-1902,,Philippines insurgents
Pol Pot (Vietnam),Pol Pot famine & massacre,1975-1978,,Pol Pot (Vietnam)
Poland,Turkey vs Poland,1583-1590,,Poland
Poland,Russia vs Poland,1654-1656,,Poland
Poland,Austria vs Poles,1846-1846,,Poland
Poland,Sweden vs Poland in Estonia,1600-1604,,Poland
Poland,Poles vs Russia,1831-1831,,Poland
Poland,Poland vs Turkey in Ukraine,1614-1621,,Poland
