Notes,ICD Sub-Chapter,ICD Sub-Chapter Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,Transport accidents,V01-V99,"Car occupant injured in collision with car, pick-up truck or van, unspecified car occupant injured in nontraffic accident",V43.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Car occupant injured in collision with car, pick-up truck or van, person injured while boarding or alighting",V43.4,38,334914895,0
,Transport accidents,V01-V99,"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident",V43.5,1337,334914895,0.4
,Transport accidents,V01-V99,"Car occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident",V43.6,542,334914895,0.2
,Transport accidents,V01-V99,"Car occupant injured in collision with car, pick-up truck or van, person on outside of vehicle injured in traffic accident",V43.7,0,334914895,Unreliable
,Transport accidents,V01-V99,"Car occupant injured in collision with car, pick-up truck or van, unspecified car occupant injured in traffic accident",V43.9,147,334914895,0
,Transport accidents,V01-V99,"Car occupant injured in collision with heavy transport vehicle or bus, driver injured in nontraffic accident",V44.0,0,334914895,Unreliable
,Transport accidents,V01-V99,"Car occupant injured in collision with heavy transport vehicle or bus, passenger injured in nontraffic accident",V44.1,0,334914895,Unreliable
,Transport accidents,V01-V99,"Car occupant injured in collision with heavy transport vehicle or bus, person on outside of vehicle injured in nontraffic accident",V44.2,0,334914895,Unreliable
,Transport accidents,V01-V99,"Car occupant injured in collision with heavy transport vehicle or bus, unspecified car occupant injured in nontraffic accident",V44.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Car occupant injured in collision with heavy transport vehicle or bus, person injured while boarding or alighting",V44.4,0,334914895,Unreliable
,Transport accidents,V01-V99,"Car occupant injured in collision with heavy transport vehicle or bus, driver injured in traffic accident",V44.5,316,334914895,0.1
,Transport accidents,V01-V99,"Car occupant injured in collision with heavy transport vehicle or bus, passenger injured in traffic accident",V44.6,119,334914895,0
,Transport accidents,V01-V99,"Car occupant injured in collision with heavy transport vehicle or bus, person on outside of vehicle injured in traffic accident",V44.7,0,334914895,Unreliable
,Transport accidents,V01-V99,"Car occupant injured in collision with heavy transport vehicle or bus, unspecified car occupant injured in traffic accident",V44.9,14,334914895,Unreliable
,Transport accidents,V01-V99,"Car occupant injured in collision with railway train or railway vehicle, driver injured in nontraffic accident",V45.0,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Car occupant injured in collision with railway train or railway vehicle, passenger injured in nontraffic accident",V45.1,0,334914895,Unreliable
,Transport accidents,V01-V99,"Car occupant injured in collision with railway train or railway vehicle, person on outside of vehicle injured in nontraffic accident",V45.2,0,334914895,Unreliable
,Transport accidents,V01-V99,"Car occupant injured in collision with railway train or railway vehicle, unspecified car occupant injured in nontraffic accident",V45.3,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Car occupant injured in collision with railway train or railway vehicle, person injured while boarding or alighting",V45.4,0,334914895,Unreliable
,Transport accidents,V01-V99,"Car occupant injured in collision with railway train or railway vehicle, driver injured in traffic accident",V45.5,35,334914895,0
,Transport accidents,V01-V99,"Car occupant injured in collision with railway train or railway vehicle, passenger injured in traffic accident",V45.6,17,334914895,Unreliable
,Transport accidents,V01-V99,"Car occupant injured in collision with railway train or railway vehicle, person on outside of vehicle injured in traffic accident",V45.7,0,334914895,Unreliable
,Transport accidents,V01-V99,"Car occupant injured in collision with railway train or railway vehicle, unspecified car occupant injured in traffic accident",V45.9,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Car occupant injured in collision with other nonmotor vehicle, driver injured in nontraffic accident",V46.0,0,334914895,Unreliable
,Transport accidents,V01-V99,"Car occupant injured in collision with other nonmotor vehicle, passenger injured in nontraffic accident",V46.1,0,334914895,Unreliable
,Transport accidents,V01-V99,"Car occupant injured in collision with other nonmotor vehicle, person on outside of vehicle injured in nontraffic accident",V46.2,0,334914895,Unreliable
,Transport accidents,V01-V99,"Car occupant injured in collision with other nonmotor vehicle, unspecified car occupant injured in nontraffic accident",V46.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Car occupant injured in collision with other nonmotor vehicle, person injured while boarding or alighting",V46.4,0,334914895,Unreliable
,Transport accidents,V01-V99,"Car occupant injured in collision with other nonmotor vehicle, driver injured in traffic accident",V46.5,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Car occupant injured in collision with other nonmotor vehicle, passenger injured in traffic accident",V46.6,0,334914895,Unreliable
,Transport accidents,V01-V99,"Car occupant injured in collision with other nonmotor vehicle, person on outside of vehicle injured in traffic accident",V46.7,0,334914895,Unreliable
,Transport accidents,V01-V99,"Car occupant injured in collision with other nonmotor vehicle, unspecified car occupant injured in traffic accident",V46.9,0,334914895,Unreliable
,Transport accidents,V01-V99,"Car occupant injured in collision with fixed or stationary object, driver injured in nontraffic accident",V47.0,14,334914895,Unreliable
,Transport accidents,V01-V99,"Car occupant injured in collision with fixed or stationary object, passenger injured in nontraffic accident",V47.1,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Car occupant injured in collision with fixed or stationary object, person on outside of vehicle injured in nontraffic accident",V47.2,0,334914895,Unreliable
,Transport accidents,V01-V99,"Car occupant injured in collision with fixed or stationary object, unspecified car occupant injured in nontraffic accident",V47.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Car occupant injured in collision with fixed or stationary object, person injured while boarding or alighting",V47.4,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident",V47.5,978,334914895,0.3
,Transport accidents,V01-V99,"Car occupant injured in collision with fixed or stationary object, passenger injured in traffic accident",V47.6,250,334914895,0.1
,Transport accidents,V01-V99,"Car occupant injured in collision with fixed or stationary object, person on outside of vehicle injured in traffic accident",V47.7,0,334914895,Unreliable
,Transport accidents,V01-V99,"Car occupant injured in collision with fixed or stationary object, unspecified car occupant injured in traffic accident",V47.9,89,334914895,0
,Transport accidents,V01-V99,"Car occupant injured in noncollision transport accident, driver injured in nontraffic accident",V48.0,10,334914895,Unreliable
,Transport accidents,V01-V99,"Car occupant injured in noncollision transport accident, passenger injured in nontraffic accident",V48.1,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Car occupant injured in noncollision transport accident, person on outside of vehicle injured in nontraffic accident",V48.2,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Car occupant injured in noncollision transport accident, unspecified car occupant injured in nontraffic accident",V48.3,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Car occupant injured in noncollision transport accident, person injured while boarding or alighting",V48.4,21,334914895,0
,Transport accidents,V01-V99,"Car occupant injured in noncollision transport accident, driver injured in traffic accident",V48.5,462,334914895,0.1
,Transport accidents,V01-V99,"Car occupant injured in noncollision transport accident, passenger injured in traffic accident",V48.6,178,334914895,0.1
,Transport accidents,V01-V99,"Car occupant injured in noncollision transport accident, person on outside of vehicle injured in traffic accident",V48.7,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Car occupant injured in noncollision transport accident, unspecified car occupant injured in traffic accident",V48.9,60,334914895,0
,Transport accidents,V01-V99,Driver injured in collision with other and unspecified motor vehicles in nontraffic accident,V49.0,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident,V49.1,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,Unspecified car occupant injured in collision with other and unspecified motor vehicles in nontraffic accident,V49.2,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,Car occupant [any] injured in unspecified nontraffic accident,V49.3,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,Driver injured in collision with other and unspecified motor vehicles in traffic accident,V49.4,476,334914895,0.1
,Transport accidents,V01-V99,Passenger injured in collision with other and unspecified motor vehicles in traffic accident,V49.5,242,334914895,0.1
,Transport accidents,V01-V99,Unspecified car occupant injured in collision with other and unspecified motor vehicles in traffic accident,V49.6,73,334914895,0
,Transport accidents,V01-V99,Car occupant [any] injured in other specified transport accidents,V49.8,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,Car occupant [any] injured in unspecified traffic accident,V49.9,1207,334914895,0.4
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with pedestrian or animal, driver injured in nontraffic accident",V50.0,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with pedestrian or animal, passenger injured in nontraffic accident",V50.1,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with pedestrian or animal, person on outside of vehicle injured in nontraffic accident",V50.2,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with pedestrian or animal, unspecified occupant of pick-up truck or van injured in nontraffic accident",V50.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with pedestrian or animal, person injured while boarding or alighting",V50.4,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with pedestrian or animal, driver injured in traffic accident",V50.5,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with pedestrian or animal, passenger injured in traffic accident",V50.6,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with pedestrian or animal, person on outside of vehicle injured in traffic accident",V50.7,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with pedestrian or animal, unspecified occupant of pick-up truck or van injured in traffic accident",V50.9,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with pedal cycle, driver injured in nontraffic accident",V51.0,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with pedal cycle, passenger injured in nontraffic accident",V51.1,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with pedal cycle, person on outside of vehicle injured in nontraffic accident",V51.2,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with pedal cycle, unspecified occupant of pick-up truck or van injured in nontraffic accident",V51.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with pedal cycle, person injured while boarding or alighting",V51.4,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with pedal cycle, driver injured in traffic accident",V51.5,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with pedal cycle, passenger injured in traffic accident",V51.6,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with pedal cycle, person on outside of vehicle injured in traffic accident",V51.7,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with pedal cycle, unspecified occupant of pick-up truck or van injured in traffic accident",V51.9,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle, driver injured in nontraffic accident",V52.0,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle, passenger injured in nontraffic accident",V52.1,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle, person on outside of vehicle injured in nontraffic accident",V52.2,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle, unspecified occupant of pick-up truck or van injured in nontraffic accident",V52.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle, person injured while boarding or alighting",V52.4,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle, driver injured in traffic accident",V52.5,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle, passenger injured in traffic accident",V52.6,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle, person on outside of vehicle injured in traffic accident",V52.7,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle, unspecified occupant of pick-up truck or van injured in traffic accident",V52.9,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, driver injured in nontraffic accident",V53.0,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, passenger injured in nontraffic accident",V53.1,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, person on outside of vehicle injured in nontraffic accident",V53.2,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, unspecified occupant of pick-up truck or van injured in nontraffic accident",V53.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, person injured while boarding or alighting",V53.4,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, driver injured in traffic accident",V53.5,192,334914895,0.1
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, passenger injured in traffic accident",V53.6,60,334914895,0
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, person on outside of vehicle injured in traffic accident",V53.7,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, unspecified occupant of pick-up truck or van injured in traffic accident",V53.9,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, driver injured in nontraffic accident",V54.0,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, passenger injured in nontraffic accident",V54.1,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, person on outside of vehicle injured in nontraffic accident",V54.2,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, unspecified occupant of pick-up truck or van injured in nontraffic accident",V54.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, person injured while boarding or alighting",V54.4,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, driver injured in traffic accident",V54.5,124,334914895,0
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, passenger injured in traffic accident",V54.6,26,334914895,0
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, person on outside of vehicle injured in traffic accident",V54.7,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, unspecified occupant of pick-up truck or van injured in traffic accident",V54.9,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with railway train or railway vehicle, driver injured in nontraffic accident",V55.0,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with railway train or railway vehicle, passenger injured in nontraffic accident",V55.1,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with railway train or railway vehicle, person on outside of vehicle injured in nontraffic accident",V55.2,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with railway train or railway vehicle, unspecified occupant of pick-up truck or van injured in nontraffic accident",V55.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with railway train or railway vehicle, person injured while boarding or alighting",V55.4,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with railway train or railway vehicle, driver injured in traffic accident",V55.5,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with railway train or railway vehicle, passenger injured in traffic accident",V55.6,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with railway train or railway vehicle, person on outside of vehicle injured in traffic accident",V55.7,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with railway train or railway vehicle, unspecified occupant of pick-up truck or van injured in traffic accident",V55.9,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with other nonmotor vehicle, driver injured in nontraffic accident",V56.0,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with other nonmotor vehicle, passenger injured in nontraffic accident",V56.1,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with other nonmotor vehicle, person on outside of vehicle injured in nontraffic accident",V56.2,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with other nonmotor vehicle, unspecified occupant of pick-up truck or van injured in nontraffic accident",V56.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with other nonmotor vehicle, person injured while boarding or alighting",V56.4,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with other nonmotor vehicle, driver injured in traffic accident",V56.5,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with other nonmotor vehicle, passenger injured in traffic accident",V56.6,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with other nonmotor vehicle, person on outside of vehicle injured in traffic accident",V56.7,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with other nonmotor vehicle, unspecified occupant of pick-up truck or van injured in traffic accident",V56.9,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, driver injured in nontraffic accident",V57.0,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, passenger injured in nontraffic accident",V57.1,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, person on outside of vehicle injured in nontraffic accident",V57.2,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, unspecified occupant of pick-up truck or van injured in nontraffic accident",V57.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, person injured while boarding or alighting",V57.4,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, driver injured in traffic accident",V57.5,230,334914895,0.1
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, passenger injured in traffic accident",V57.6,36,334914895,0
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, person on outside of vehicle injured in traffic accident",V57.7,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, unspecified occupant of pick-up truck or van injured in traffic accident",V57.9,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in noncollision transport accident, driver injured in nontraffic accident",V58.0,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in noncollision transport accident, passenger injured in nontraffic accident",V58.1,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in noncollision transport accident, person on outside of vehicle injured in nontraffic accident",V58.2,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in noncollision transport accident, unspecified occupant of pick-up truck or van injured in nontraffic accident",V58.3,22,334914895,0
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in noncollision transport accident, person injured while boarding or alighting",V58.4,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in noncollision transport accident, driver injured in traffic accident",V58.5,195,334914895,0.1
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in noncollision transport accident, passenger injured in traffic accident",V58.6,78,334914895,0
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in noncollision transport accident, person on outside of vehicle injured in traffic accident",V58.7,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Occupant of pick-up truck or van injured in noncollision transport accident, unspecified occupant of pick-up truck or van injured in traffic accident",V58.9,20,334914895,0
,Transport accidents,V01-V99,Driver injured in collision with other and unspecified motor vehicles in nontraffic accident,V59.0,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident,V59.1,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,Unspecified occupant of pick-up truck or van injured in collision with other and unspecified motor vehicles in nontraffic accident,V59.2,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,Occupant [any] of pick-up truck or van injured in unspecified nontraffic accident,V59.3,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,Driver injured in collision with other and unspecified motor vehicles in traffic accident,V59.4,107,334914895,0
,Transport accidents,V01-V99,Passenger injured in collision with other and unspecified motor vehicles in traffic accident,V59.5,62,334914895,0
,Transport accidents,V01-V99,Unspecified occupant of pick-up truck or van injured in collision with other and unspecified motor vehicles in traffic accident,V59.6,10,334914895,Unreliable
,Transport accidents,V01-V99,Occupant [any] of pick-up truck or van injured in other specified transport accidents,V59.8,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,Occupant [any] of pick-up truck or van injured in unspecified traffic accident,V59.9,157,334914895,0
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with pedestrian or animal, driver injured in nontraffic accident",V60.0,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with pedestrian or animal, passenger injured in nontraffic accident",V60.1,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with pedestrian or animal, person on outside of vehicle injured in nontraffic accident",V60.2,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with pedestrian or animal, unspecified occupant of heavy transport vehicle injured in nontraffic accident",V60.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with pedestrian or animal, person injured while boarding or alighting",V60.4,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with pedestrian or animal, driver injured in traffic accident",V60.5,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with pedestrian or animal, passenger injured in traffic accident",V60.6,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with pedestrian or animal, person on outside of vehicle injured in traffic accident",V60.7,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with pedestrian or animal, unspecified occupant of heavy transport vehicle injured in traffic accident",V60.9,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with pedal cycle, driver injured in nontraffic accident",V61.0,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with pedal cycle, passenger injured in nontraffic accident",V61.1,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with pedal cycle, person on outside of vehicle injured in nontraffic accident",V61.2,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with pedal cycle, unspecified occupant of heavy transport vehicle injured in nontraffic accident",V61.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with pedal cycle, person injured while boarding or alighting",V61.4,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with pedal cycle, driver injured in traffic accident",V61.5,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with pedal cycle, passenger injured in traffic accident",V61.6,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with pedal cycle, person on outside of vehicle injured in traffic accident",V61.7,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with pedal cycle, unspecified occupant of heavy transport vehicle injured in traffic accident",V61.9,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle, driver injured in nontraffic accident",V62.0,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle, passenger injured in nontraffic accident",V62.1,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle, person on outside of vehicle injured in nontraffic accident",V62.2,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle, unspecified occupant of heavy transport vehicle injured in nontraffic accident",V62.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle, person injured while boarding or alighting",V62.4,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle, driver injured in traffic accident",V62.5,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle, passenger injured in traffic accident",V62.6,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle, person on outside of vehicle injured in traffic accident",V62.7,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle, unspecified occupant of heavy transport vehicle injured in traffic accident",V62.9,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, driver injured in nontraffic accident",V63.0,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, passenger injured in nontraffic accident",V63.1,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, person on outside of vehicle injured in nontraffic accident",V63.2,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, unspecified occupant of heavy transport vehicle injured in nontraffic accident",V63.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, person injured while boarding or alighting",V63.4,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, driver injured in traffic accident",V63.5,13,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, passenger injured in traffic accident",V63.6,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, person on outside of vehicle injured in traffic accident",V63.7,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, unspecified occupant of heavy transport vehicle injured in traffic accident",V63.9,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus, driver injured in nontraffic accident",V64.0,0,334914895,Unreliable
