indicator,chart,chart_slug,chart_id,variable_id,variable_name,dataset_id,dataset_name
17.16.1,https://ourworldindata.org/grapher/providers-of-development-coordination,providers-of-development-coordination,5574,414246,"17.16.1 - Number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals, Provider (1 = YES; 0 = NO) - SG_PLN_MSTKSDG_P",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
17.16.1,https://ourworldindata.org/grapher/recipients-of-development-coordination,recipients-of-development-coordination,5247,414247,"17.16.1 - Number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals, Recipient (1 = YES; 0 = NO) - SG_PLN_MSTKSDG_R",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
17.17.1,https://ourworldindata.org/grapher/money-committed-to-public-private-partnerships-for-infrastructure,money-committed-to-public-private-partnerships-for-infrastructure,5234,414249,"17.17.1 - Amount of United States dollars committed to public-private partnerships for infrastructure, million USD real - GF_COM_PPPI_KD",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
17.18.1,https://ourworldindata.org/grapher/statistical-capacity-indicator,statistical-capacity-indicator,1904,45071,Statistical Capacity Indicator (World Bank),1070,dataset_1070_statistical_capacity_indicator__sci__world_bank_data_on_statistical_capacity
17.18.2,https://ourworldindata.org/grapher/national-statistical-legislation,national-statistical-legislation,3864,414251,17.18.2 - Countries with national statistical legislation exists that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) - SG_STT_FPOS,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
17.18.3,https://ourworldindata.org/grapher/countries-with-stats-plan-funded-by-source,countries-with-stats-plan-funded-by-source,2115,414255,17.18.3 - Countries with national statistical plans that are fully funded (1 = YES; 0 = NO) - SG_STT_NSDSFND,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
17.18.3,https://ourworldindata.org/grapher/countries-with-stats-plan-funded-by-source,countries-with-stats-plan-funded-by-source,2115,414252,17.18.3 - Countries with national statistical plans with funding from donors (1 = YES; 0 = NO) - SG_STT_NSDSFDDNR,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
17.18.3,https://ourworldindata.org/grapher/countries-with-stats-plan-funded-by-source,countries-with-stats-plan-funded-by-source,2115,414253,17.18.3 - Countries with national statistical plans with funding from others (1 = YES; 0 = NO) - SG_STT_NSDSFDOTHR,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
17.18.3,https://ourworldindata.org/grapher/countries-with-stats-plan-funded-by-source,countries-with-stats-plan-funded-by-source,2115,414250,17.18.3 - Countries with national statistical plans with funding from Government (1 = YES; 0 = NO) - SG_STT_NSDSFDGVT,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
17.18.3,https://ourworldindata.org/grapher/countries-with-stats-plan-funded-by-source,countries-with-stats-plan-funded-by-source,2115,414254,17.18.3 - Countries with national statistical plans that are under implementation (1 = YES; 0 = NO) - SG_STT_NSDSIMPL,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
17.19.1,https://ourworldindata.org/grapher/resources-statistical-capacity,resources-statistical-capacity,3865,414262,17.19.1 - Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars) - SG_STT_CAPTY,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
17.19.2,https://ourworldindata.org/grapher/completeness-population-census,completeness-population-census,2025,45091,Population Census,1070,dataset_1070_statistical_capacity_indicator__sci__world_bank_data_on_statistical_capacity
17.19.2,https://ourworldindata.org/grapher/completeness-of-birth-registration,completeness-of-birth-registration,763,147820,Completeness of birth registration (%),5357,dataset_5357_world_development_indicators__world_bank__2021_07_30
16.9.1,https://ourworldindata.org/grapher/completeness-of-birth-registration,completeness-of-birth-registration,763,147820,Completeness of birth registration (%),5357,dataset_5357_world_development_indicators__world_bank__2021_07_30
3.A.1,https://ourworldindata.org/grapher/prevalence-of-tobacco-use-sdgs,prevalence-of-tobacco-use-sdgs,2729,414145,"3.a.1 - Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%) - SH_PRV_SMOK - Both sexes",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
3.B.1,https://ourworldindata.org/grapher/coverage-of-measles-containing-vaccine,coverage-of-measles-containing-vaccine,5254,414150,3.b.1 - Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%) - SH_ACS_MCV2,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
3.B.1,https://ourworldindata.org/grapher/coverage-of-pneumococcal-conjugate-vaccine,coverage-of-pneumococcal-conjugate-vaccine,5255,414151,3.b.1 - Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) (%) - SH_ACS_PCV3,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
3.B.1,https://ourworldindata.org/grapher/coverage-of-diphtheria-tetanus-pertussis-vaccine,coverage-of-diphtheria-tetanus-pertussis-vaccine,5256,414149,3.b.1 - Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%) - SH_ACS_DTP3,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
3.B.1,https://ourworldindata.org/grapher/coverage-of-the-human-papillomavirus-vaccine,coverage-of-the-human-papillomavirus-vaccine,5575,414152,"3.b.1 - Proportion of the target population with access to affordable medicines and vaccines on a sustainable basis, human papillomavirus (HPV) (%) - SH_ACS_HPV",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
3.B.2,https://ourworldindata.org/grapher/net-oda-to-medical-research,net-oda-to-medical-research,5239,414147,"3.b.2 - Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2019 United States dollars) - DC_TOF_HLTHNT",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
3.B.3,https://ourworldindata.org/grapher/share-of-health-facilities-with-essential-medicines,share-of-health-facilities-with-essential-medicines,5194,414153,3.b.3 - Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis (%) - SH_HLF_EMED,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
3.C.1,https://ourworldindata.org/grapher/physicians-per-1000-people,physicians-per-1000-people,1966,147873,"Physicians (per 1,000 people)",5357,dataset_5357_world_development_indicators__world_bank__2021_07_30
3.D.1,https://ourworldindata.org/grapher/ihr-core-capacity-index-sdgs,ihr-core-capacity-index-sdgs,2734,414174,"3.d.1 - International Health Regulations (IHR) capacity, by type of IHR capacity (%) - SH_IHR_CAPS - Laboratory",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
3.D.1,https://ourworldindata.org/grapher/ihr-core-capacity-index-sdgs,ihr-core-capacity-index-sdgs,2734,414169,"3.d.1 - International Health Regulations (IHR) capacity, by type of IHR capacity (%) - SH_IHR_CAPS - Surveillance",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
3.D.1,https://ourworldindata.org/grapher/ihr-core-capacity-index-sdgs,ihr-core-capacity-index-sdgs,2734,414168,"3.d.1 - International Health Regulations (IHR) capacity, by type of IHR capacity (%) - SH_IHR_CAPS - IHR Coordination and National IHR Focal Point Functions",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
3.D.1,https://ourworldindata.org/grapher/ihr-core-capacity-index-sdgs,ihr-core-capacity-index-sdgs,2734,414166,"3.d.1 - International Health Regulations (IHR) capacity, by type of IHR capacity (%) - SH_IHR_CAPS - National legislation, policy and financing",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
3.D.1,https://ourworldindata.org/grapher/ihr-core-capacity-index-sdgs,ihr-core-capacity-index-sdgs,2734,414179,"3.d.1 - International Health Regulations (IHR) capacity, by type of IHR capacity (%) - SH_IHR_CAPS - Health Service Provision",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
3.D.1,https://ourworldindata.org/grapher/ihr-core-capacity-index-sdgs,ihr-core-capacity-index-sdgs,2734,414173,"3.d.1 - International Health Regulations (IHR) capacity, by type of IHR capacity (%) - SH_IHR_CAPS - Radionuclear emergencies",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
3.D.1,https://ourworldindata.org/grapher/ihr-core-capacity-index-sdgs,ihr-core-capacity-index-sdgs,2734,414165,"3.d.1 - International Health Regulations (IHR) capacity, by type of IHR capacity (%) - SH_IHR_CAPS - Risk Communication",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
3.D.1,https://ourworldindata.org/grapher/ihr-core-capacity-index-sdgs,ihr-core-capacity-index-sdgs,2734,414172,"3.d.1 - International Health Regulations (IHR) capacity, by type of IHR capacity (%) - SH_IHR_CAPS - Chemical events",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
3.D.1,https://ourworldindata.org/grapher/ihr-core-capacity-index-sdgs,ihr-core-capacity-index-sdgs,2734,414170,"3.d.1 - International Health Regulations (IHR) capacity, by type of IHR capacity (%) - SH_IHR_CAPS - Human resources",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
3.D.1,https://ourworldindata.org/grapher/ihr-core-capacity-index-sdgs,ihr-core-capacity-index-sdgs,2734,414171,"3.d.1 - International Health Regulations (IHR) capacity, by type of IHR capacity (%) - SH_IHR_CAPS - Food safety",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
3.D.1,https://ourworldindata.org/grapher/ihr-core-capacity-index-sdgs,ihr-core-capacity-index-sdgs,2734,414167,"3.d.1 - International Health Regulations (IHR) capacity, by type of IHR capacity (%) - SH_IHR_CAPS - Zoonotic events and the human–animal interface",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
3.D.1,https://ourworldindata.org/grapher/ihr-core-capacity-index-sdgs,ihr-core-capacity-index-sdgs,2734,414175,"3.d.1 - International Health Regulations (IHR) capacity, by type of IHR capacity (%) - SH_IHR_CAPS - Points of entry",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
3.D.1,https://ourworldindata.org/grapher/ihr-core-capacity-index-sdgs,ihr-core-capacity-index-sdgs,2734,414177,"3.d.1 - International Health Regulations (IHR) capacity, by type of IHR capacity (%) - SH_IHR_CAPS - Radiation emergencies",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
3.D.1,https://ourworldindata.org/grapher/ihr-core-capacity-index-sdgs,ihr-core-capacity-index-sdgs,2734,414163,"3.d.1 - International Health Regulations (IHR) capacity, by type of IHR capacity (%) - SH_IHR_CAPS - Response",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
3.D.1,https://ourworldindata.org/grapher/ihr-core-capacity-index-sdgs,ihr-core-capacity-index-sdgs,2734,414176,"3.d.1 - International Health Regulations (IHR) capacity, by type of IHR capacity (%) - SH_IHR_CAPS - Legislation and Financing",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
3.D.1,https://ourworldindata.org/grapher/ihr-core-capacity-index-sdgs,ihr-core-capacity-index-sdgs,2734,414178,"3.d.1 - International Health Regulations (IHR) capacity, by type of IHR capacity (%) - SH_IHR_CAPS - National Health Emergency Framework",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
3.D.1,https://ourworldindata.org/grapher/ihr-core-capacity-index-sdgs,ihr-core-capacity-index-sdgs,2734,414164,"3.d.1 - International Health Regulations (IHR) capacity, by type of IHR capacity (%) - SH_IHR_CAPS - Preparedness",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.1.1,https://ourworldindata.org/grapher/annualized-average-growth-rate-in-per-capita-real-survey-mean-consumption-or-income-bottom-40-of-population,annualized-average-growth-rate-in-per-capita-real-survey-mean-consumption-or-income-bottom-40-of-population,1667,3528,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",564,dataset_564_world_development_indicators__poverty
10.2.1,https://ourworldindata.org/grapher/share-of-population-living-on-less-than-half-of-the-median-income,share-of-population-living-on-less-than-half-of-the-median-income,5306,415648,10.2.1 - Proportion of people living below 50 percent of median income (%) - SI_POV_50MI,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.3.1,https://ourworldindata.org/grapher/share-of-the-population-reporting-having-felt-discriminated-against,share-of-the-population-reporting-having-felt-discriminated-against,5301,417421,"16.b.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - Both sexes - No breakdown by disability - All grounds or no breakdown",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.B.1,https://ourworldindata.org/grapher/share-of-the-population-reporting-having-felt-discriminated-against,share-of-the-population-reporting-having-felt-discriminated-against,5301,417421,"16.b.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - Both sexes - No breakdown by disability - All grounds or no breakdown",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.4.1,https://ourworldindata.org/grapher/labor-share-of-gdp,labor-share-of-gdp,2059,415839,10.4.1 - Labour share of GDP (%) - SL_EMP_GTOTL,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.5.1,https://ourworldindata.org/grapher/regulation-financial-markets,regulation-financial-markets,3851,415844,10.5.1 - Return on assets (%) - FI_FSI_FSERA,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.5.1,https://ourworldindata.org/grapher/regulation-financial-markets,regulation-financial-markets,3851,415845,10.5.1 - Regulatory capital to assets (%) - FI_FSI_FSKA,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.5.1,https://ourworldindata.org/grapher/regulation-financial-markets,regulation-financial-markets,3851,415848,10.5.1 - Liquid assets to short term liabilities (%) - FI_FSI_FSLS,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.5.1,https://ourworldindata.org/grapher/regulation-financial-markets,regulation-financial-markets,3851,415843,10.5.1 - Non-performing loans to total gross loans (%) - FI_FSI_FSANL,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.5.1,https://ourworldindata.org/grapher/regulation-financial-markets,regulation-financial-markets,3851,415849,10.5.1 - Net open position in foreign exchange to capital (%) - FI_FSI_FSSNO,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.5.1,https://ourworldindata.org/grapher/regulation-financial-markets,regulation-financial-markets,3851,415846,10.5.1 - Non-performing loans net of provisions to capital (%) - FI_FSI_FSKNL,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.5.1,https://ourworldindata.org/grapher/regulation-financial-markets,regulation-financial-markets,3851,415847,10.5.1 - Regulatory Tier 1 capital to risk-weighted assets (%) - FI_FSI_FSKRTC,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.6.1,https://ourworldindata.org/grapher/proportion-of-members-of-developing-countries-in-international-organizations,proportion-of-members-of-developing-countries-in-international-organizations,2070,415858,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - UN Security Council",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.6.1,https://ourworldindata.org/grapher/proportion-of-members-of-developing-countries-in-international-organizations,proportion-of-members-of-developing-countries-in-international-organizations,2070,415851,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - UN General Assembly",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.6.1,https://ourworldindata.org/grapher/proportion-of-members-of-developing-countries-in-international-organizations,proportion-of-members-of-developing-countries-in-international-organizations,2070,415857,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - African Development Bank",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.6.1,https://ourworldindata.org/grapher/proportion-of-members-of-developing-countries-in-international-organizations,proportion-of-members-of-developing-countries-in-international-organizations,2070,415854,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - Asian Development Bank",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.6.1,https://ourworldindata.org/grapher/proportion-of-members-of-developing-countries-in-international-organizations,proportion-of-members-of-developing-countries-in-international-organizations,2070,415856,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - World Trade Organisation",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.6.1,https://ourworldindata.org/grapher/proportion-of-members-of-developing-countries-in-international-organizations,proportion-of-members-of-developing-countries-in-international-organizations,2070,415860,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - Financial Stability Board",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.6.1,https://ourworldindata.org/grapher/proportion-of-members-of-developing-countries-in-international-organizations,proportion-of-members-of-developing-countries-in-international-organizations,2070,415855,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - UN Economic and Social Council",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.6.1,https://ourworldindata.org/grapher/proportion-of-members-of-developing-countries-in-international-organizations,proportion-of-members-of-developing-countries-in-international-organizations,2070,415853,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - International Monetary Fund",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.6.1,https://ourworldindata.org/grapher/proportion-of-members-of-developing-countries-in-international-organizations,proportion-of-members-of-developing-countries-in-international-organizations,2070,415859,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - Inter-American Development Bank",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.6.1,https://ourworldindata.org/grapher/proportion-of-members-of-developing-countries-in-international-organizations,proportion-of-members-of-developing-countries-in-international-organizations,2070,415850,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - International Finance Corporation",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.6.1,https://ourworldindata.org/grapher/proportion-of-members-of-developing-countries-in-international-organizations,proportion-of-members-of-developing-countries-in-international-organizations,2070,415852,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - International Bank for Reconstruction and Development",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.8.1,https://ourworldindata.org/grapher/proportion-of-members-of-developing-countries-in-international-organizations,proportion-of-members-of-developing-countries-in-international-organizations,2070,415858,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - UN Security Council",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.8.1,https://ourworldindata.org/grapher/proportion-of-members-of-developing-countries-in-international-organizations,proportion-of-members-of-developing-countries-in-international-organizations,2070,415851,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - UN General Assembly",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.8.1,https://ourworldindata.org/grapher/proportion-of-members-of-developing-countries-in-international-organizations,proportion-of-members-of-developing-countries-in-international-organizations,2070,415857,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - African Development Bank",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.8.1,https://ourworldindata.org/grapher/proportion-of-members-of-developing-countries-in-international-organizations,proportion-of-members-of-developing-countries-in-international-organizations,2070,415854,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - Asian Development Bank",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.8.1,https://ourworldindata.org/grapher/proportion-of-members-of-developing-countries-in-international-organizations,proportion-of-members-of-developing-countries-in-international-organizations,2070,415856,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - World Trade Organisation",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.8.1,https://ourworldindata.org/grapher/proportion-of-members-of-developing-countries-in-international-organizations,proportion-of-members-of-developing-countries-in-international-organizations,2070,415860,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - Financial Stability Board",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.8.1,https://ourworldindata.org/grapher/proportion-of-members-of-developing-countries-in-international-organizations,proportion-of-members-of-developing-countries-in-international-organizations,2070,415855,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - UN Economic and Social Council",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.8.1,https://ourworldindata.org/grapher/proportion-of-members-of-developing-countries-in-international-organizations,proportion-of-members-of-developing-countries-in-international-organizations,2070,415853,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - International Monetary Fund",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.8.1,https://ourworldindata.org/grapher/proportion-of-members-of-developing-countries-in-international-organizations,proportion-of-members-of-developing-countries-in-international-organizations,2070,415859,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - Inter-American Development Bank",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.8.1,https://ourworldindata.org/grapher/proportion-of-members-of-developing-countries-in-international-organizations,proportion-of-members-of-developing-countries-in-international-organizations,2070,415850,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - International Finance Corporation",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.8.1,https://ourworldindata.org/grapher/proportion-of-members-of-developing-countries-in-international-organizations,proportion-of-members-of-developing-countries-in-international-organizations,2070,415852,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - International Bank for Reconstruction and Development",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.6.1,https://ourworldindata.org/grapher/proportion-of-voting-rights-in-international-organizations,proportion-of-voting-rights-in-international-organizations,2069,415858,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - UN Security Council",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.6.1,https://ourworldindata.org/grapher/proportion-of-voting-rights-in-international-organizations,proportion-of-voting-rights-in-international-organizations,2069,415851,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - UN General Assembly",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.6.1,https://ourworldindata.org/grapher/proportion-of-voting-rights-in-international-organizations,proportion-of-voting-rights-in-international-organizations,2069,415857,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - African Development Bank",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.6.1,https://ourworldindata.org/grapher/proportion-of-voting-rights-in-international-organizations,proportion-of-voting-rights-in-international-organizations,2069,415854,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - Asian Development Bank",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.6.1,https://ourworldindata.org/grapher/proportion-of-voting-rights-in-international-organizations,proportion-of-voting-rights-in-international-organizations,2069,415856,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - World Trade Organisation",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.6.1,https://ourworldindata.org/grapher/proportion-of-voting-rights-in-international-organizations,proportion-of-voting-rights-in-international-organizations,2069,415860,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - Financial Stability Board",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.6.1,https://ourworldindata.org/grapher/proportion-of-voting-rights-in-international-organizations,proportion-of-voting-rights-in-international-organizations,2069,415855,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - UN Economic and Social Council",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.6.1,https://ourworldindata.org/grapher/proportion-of-voting-rights-in-international-organizations,proportion-of-voting-rights-in-international-organizations,2069,415853,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - International Monetary Fund",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.6.1,https://ourworldindata.org/grapher/proportion-of-voting-rights-in-international-organizations,proportion-of-voting-rights-in-international-organizations,2069,415859,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - Inter-American Development Bank",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.6.1,https://ourworldindata.org/grapher/proportion-of-voting-rights-in-international-organizations,proportion-of-voting-rights-in-international-organizations,2069,415850,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - International Finance Corporation",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.6.1,https://ourworldindata.org/grapher/proportion-of-voting-rights-in-international-organizations,proportion-of-voting-rights-in-international-organizations,2069,415852,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - International Bank for Reconstruction and Development",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.8.1,https://ourworldindata.org/grapher/proportion-of-voting-rights-in-international-organizations,proportion-of-voting-rights-in-international-organizations,2069,415858,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - UN Security Council",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.8.1,https://ourworldindata.org/grapher/proportion-of-voting-rights-in-international-organizations,proportion-of-voting-rights-in-international-organizations,2069,415851,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - UN General Assembly",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.8.1,https://ourworldindata.org/grapher/proportion-of-voting-rights-in-international-organizations,proportion-of-voting-rights-in-international-organizations,2069,415857,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - African Development Bank",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.8.1,https://ourworldindata.org/grapher/proportion-of-voting-rights-in-international-organizations,proportion-of-voting-rights-in-international-organizations,2069,415854,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - Asian Development Bank",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.8.1,https://ourworldindata.org/grapher/proportion-of-voting-rights-in-international-organizations,proportion-of-voting-rights-in-international-organizations,2069,415856,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - World Trade Organisation",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.8.1,https://ourworldindata.org/grapher/proportion-of-voting-rights-in-international-organizations,proportion-of-voting-rights-in-international-organizations,2069,415860,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - Financial Stability Board",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.8.1,https://ourworldindata.org/grapher/proportion-of-voting-rights-in-international-organizations,proportion-of-voting-rights-in-international-organizations,2069,415855,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - UN Economic and Social Council",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
